tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
855485,ESEMAN,ds_window,-1305029698,2753780939,1,1514,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,6,38238,window
855485,ESEMAN,ds_window,991349810,1605591185,1,15551,faf17535-2f66-4621-995f-49c7dbd84e8b,991349810,1605591185,4177,6,52759,window
855485,ESEMAN,ds_window,1182045660,1224199485,1,5455,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,7,47228,window
855485,ESEMAN,ds_attribute,1203162950,4,1,8,faf17535-2f66-4621-995f-49c7dbd84e8b,1203162950,4,8083,654,16412,attribute
855485,ESEMAN,ds_window,1182045660,1224199485,1,486,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,4,43074,window
855485,ESEMAN,ds_window,1182045660,1224199485,1,489,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,5,41847,window
855485,ESEMAN,ds_attribute,1203193233,4,1,9,faf17535-2f66-4621-995f-49c7dbd84e8b,1203193233,4,8083,673,1681,attribute
855485,ESEMAN,ds_window,1182045660,1224199485,1,479,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,37168,window
855485,ESEMAN,ds_window,1182045660,1224199485,1,477,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,36757,window
855485,ESEMAN,ds_attribute,1206160959,7,1,9,faf17535-2f66-4621-995f-49c7dbd84e8b,1206160959,7,8690,691,4434,attribute
855485,ESEMAN,ds_window,1182045660,1224199485,1,472,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,4,41663,window
855485,ESEMAN,ds_window,1182045660,1224199485,1,473,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,41547,window
855485,ESEMAN,ds_attribute,1207553973,3,1,9,faf17535-2f66-4621-995f-49c7dbd84e8b,1207553973,3,4355,672,1671,attribute
855485,ESEMAN,ds_window,1182045660,1224199485,1,470,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,36452,window
855485,ESEMAN,ds_window,1182045660,1224199485,1,476,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,3,36264,window
855485,ESEMAN,ds_attribute,1206110487,7,1,9,faf17535-2f66-4621-995f-49c7dbd84e8b,1206110487,7,8686,701,1252,attribute
855485,ESEMAN,ds_window,1182045660,1224199485,1,487,faf17535-2f66-4621-995f-49c7dbd84e8b,1182045660,1224199485,4176,4,36991,window
Initial serve memory: 3058.16 MB
Post serve memory: 3422.8 MB
Post data serve memory: 2021.9 MB
