dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,11535,147903,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,800,128895,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,1337,126909,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,1556,131150,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,1605,127436,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,1594,126343,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,1541,131459,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,1538,130503,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,1574,125921,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,1596,125820,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,1560,126096,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,1513,124926,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,1446,125043,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,1565,124544,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,1643,126981,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,1435,126762,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,1262,124882,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,1488,123707,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,1548,125733,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,1578,124866,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,1511,125842,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,1458,123933,window
Initial serve memory: 4146.26 MB
Post serve memory: 4476.55 MB
Post data serve memory:  MB
