tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
1236406,ESEMAN,ds_window,-12139085238,24373198347,32,514,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,87091,window
1236406,ESEMAN,ds_window,-12139085238,24373198347,32,383,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,26400,window
1236406,ESEMAN,ds_window,8056058750,14275626353,32,184167,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,4,205434,window
1236406,ESEMAN,ds_window,9639465388,11108813077,32,69981,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,91236,window
1236406,ESEMAN,ds_window,8418363658,11719363942,32,29645,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,5,50824,window
1236406,ESEMAN,ds_window,8666609614,11222872030,32,6846,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,4,29250,window
1236406,ESEMAN,ds_window,9887711344,10612321165,32,38308,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,5,59563,window
1236406,ESEMAN,ds_window,9639465388,11108813077,32,1024,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,32970,window
1236406,ESEMAN,ds_window,6714188718,12571451412,32,43609,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,4,64401,window
1236406,ESEMAN,ds_window,7814522145,10370784558,32,17440,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,4,38170,window
1236406,ESEMAN,ds_window,9270451131,10015188999,32,39689,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,5,60329,window
1236406,ESEMAN,ds_window,8056058751,12443973759,32,2410,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,4,27667,window
1236406,ESEMAN,ds_window,6848375721,13047815274,32,1065,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,4,33298,window
1236406,ESEMAN,ds_window,7821231495,11102103726,32,1110,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,4,34473,window
1236406,ESEMAN,ds_window,9035623875,11954191197,32,28101,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,4,74675,window
1236406,ESEMAN,ds_window,8425073010,13175292927,32,921,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,5,33022,window
1236406,ESEMAN,ds_window,4533649914,15121004475,32,37438,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,5,57985,window
1236406,ESEMAN,ds_window,7089912326,10008479651,32,16180,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,4,38342,window
1236406,ESEMAN,ds_window,8304304709,10498262210,32,11858,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,5,39018,window
1236406,ESEMAN,ds_window,7572985541,11960900546,32,1063,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,4,35279,window
1236406,ESEMAN,ds_window,5868810597,12812988018,32,15026,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,4,42604,window
1236406,ESEMAN,ds_window,7572985538,9404638136,32,28748,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,4,50408,window
Initial serve memory: 3703.99 MB
Post serve memory: 4066.21 MB
Post data serve memory: 3321.8 MB
