dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,5,223445,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,4,161418,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,4,174507,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,7,172307,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,178158,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,169539,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,158213,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,3,168103,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,175710,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,6,163968,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,158617,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,177206,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,170702,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,4,164274,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,4,177260,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,7,180241,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,4,165148,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,150228,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,3,160659,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,3,175535,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,3,173774,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,7,271680,window
Initial serve memory: 14960.1 MB
Post serve memory: 15468.9 MB
Post data serve memory:  MB
