tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
732776,ESEMAN,ds_window,-1305029698,2753780939,32,432,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,3,41108,window
732776,ESEMAN,ds_window,-1305029698,2753780939,32,394,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,36831,window
732776,ESEMAN,ds_window,939159368,1631686406,32,161110,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,5,198808,window
732776,ESEMAN,ds_window,1115803945,1278397252,32,207849,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,245535,window
732776,ESEMAN,ds_window,979305861,1346646294,32,12586,faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,49606,window
732776,ESEMAN,ds_window,1007408408,1290441200,32,5822,faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,42841,window
732776,ESEMAN,ds_window,1143906492,1222192158,32,12350,faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,48780,window
732776,ESEMAN,ds_window,1115803945,1278397252,32,556,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,36684,window
732776,ESEMAN,ds_window,790617335,1440990557,32,756,faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,37634,window
732776,ESEMAN,ds_window,913064145,1196096937,32,455,faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,37572,window
732776,ESEMAN,ds_window,1073650126,1157957767,32,13129,faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,50010,window
732776,ESEMAN,ds_window,939159368,1426939283,32,1320,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,38642,window
732776,ESEMAN,ds_window,806675934,1493181000,32,475,faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,36901,window
732776,ESEMAN,ds_window,915071471,1276389926,32,556,faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,5,37327,window
732776,ESEMAN,ds_window,1047554904,1372741515,32,5161,faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,4,41901,window
732776,ESEMAN,ds_window,979305863,1509239597,32,557,faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,4,37329,window
732776,ESEMAN,ds_window,545723717,1726030670,32,358,faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,4,36322,window
732776,ESEMAN,ds_window,830763831,1155950442,32,332,faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,36499,window
732776,ESEMAN,ds_window,965254590,1212155535,32,1700,faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,4,38047,window
732776,ESEMAN,ds_window,884961600,1372741515,32,570,faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,3,36809,window
732776,ESEMAN,ds_window,696273072,1467085779,32,482,faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,5,37269,window
732776,ESEMAN,ds_window,884961599,1089708725,32,297,faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,4,36210,window
Initial serve memory: 4146.26 MB
Post serve memory: 4476.55 MB
Post data serve memory: 28714.8 MB
