tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
1460368,ESEMAN,ds_window,-88540582504,177707185940,4,75344,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,693349,window
1460368,ESEMAN,ds_window,-88540582504,177707185940,4,42005,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,374701,window
1460368,ESEMAN,ds_window,-88540582504,177707185940,4,48656,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,496249,window
1460368,ESEMAN,ds_window,58722516174,104075636601,4,400710,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,5,1017452,window
1460368,ESEMAN,ds_window,70268725904,80983217141,4,78338,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,4,544064,window
1460368,ESEMAN,ds_window,61364445520,85435357333,4,76984,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,3,550186,window
1460368,ESEMAN,ds_window,63174656367,81814935639,4,32045,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,3,501034,window
1460368,ESEMAN,ds_window,72078936751,77362795447,4,22908,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,5,473868,window
1460368,ESEMAN,ds_window,70268725904,80983217141,4,20086,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,3,481605,window
1460368,ESEMAN,ds_window,48937592674,91648783756,4,207246,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,5,611260,window
1460368,ESEMAN,ds_window,56961229944,75601509216,4,39275,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,5,504270,window
1460368,ESEMAN,ds_window,67577871945,73008504486,4,22882,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,5,474402,window
1460368,ESEMAN,ds_window,58722516177,90719216022,4,56114,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,4,506714,window
1460368,ESEMAN,ds_window,49916085025,95122431598,4,53047,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,4,515540,window
1460368,ESEMAN,ds_window,57010154563,80934292522,4,36771,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,5,499621,window
1460368,ESEMAN,ds_window,65865510331,87147718945,4,43010,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,3,496260,window
1460368,ESEMAN,ds_window,61413370138,96051999331,4,36778,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,5,495284,window
1460368,ESEMAN,ds_window,33037091986,110240138407,4,244489,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,3,661594,window
1460368,ESEMAN,ds_window,51677371254,72959579871,4,46329,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,4,501638,window
1460368,ESEMAN,ds_window,60532727025,76531076946,4,33811,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,3,488095,window
1460368,ESEMAN,ds_window,55199943717,87196643562,4,42409,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,6,514257,window
1460368,ESEMAN,ds_window,42773090869,93410069986,4,70166,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,5,538559,window
1460368,ESEMAN,ds_window,55199943714,68556364296,4,27137,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,4,480916,window
Initial serve memory: 1989.41 MB
Post serve memory: 2374 MB
Post data serve memory: 2924.17 MB
