dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,4,114414,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,101460,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,5,102163,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,60480,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,5,88874,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,73997,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,42237,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,5,60262,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,100988,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,50419,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,40032,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,101677,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,99771,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,3,69923,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,5,94286,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,5,100136,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,3,100364,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,40329,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,4,54385,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,4,94032,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,4,99845,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,4,69959,window
Initial serve memory: 14142 MB
Post serve memory: 14514.8 MB
Post data serve memory:  MB
