tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
89929,ESEMAN,ds_window,-21293135811,42592341477,64,2425,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,3,385303,window
89929,ESEMAN,ds_window,-21293135811,42592341477,64,2367,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,3,176563,window
89929,ESEMAN,ds_window,14042271509,24924637817,64,30348,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,5,207430,window
89929,ESEMAN,ds_window,16812755272,19383670291,64,36399,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,216776,window
89929,ESEMAN,ds_window,14676195758,20451950048,64,9674,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,2,192205,window
89929,ESEMAN,ds_window,15110551263,19583239038,64,8896,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,3,194140,window
89929,ESEMAN,ds_window,17247110777,18514959281,64,3333,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,5,184766,window
89929,ESEMAN,ds_window,16812755272,19383670291,64,2406,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,193821,window
89929,ESEMAN,ds_window,11694403912,21942845971,64,20682,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,5,196848,window
89929,ESEMAN,ds_window,13619655341,18092343113,64,9402,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,5,195452,window
89929,ESEMAN,ds_window,16167091683,17470158201,64,6980,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,5,189923,window
89929,ESEMAN,ds_window,14042271509,21719798549,64,7589,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,6,187792,window
89929,ESEMAN,ds_window,11929190671,22776338968,64,2497,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,4,192851,window
89929,ESEMAN,ds_window,13631394678,19371930954,64,2440,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,4,188216,window
89929,ESEMAN,ds_window,15756214855,20862826876,64,7751,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,5,182140,window
89929,ESEMAN,ds_window,14687935099,22999386388,64,2647,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,6,197719,window
89929,ESEMAN,ds_window,7879119069,26403794403,64,16882,a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,11,204754,window
89929,ESEMAN,ds_window,12351806839,17458418863,64,8611,a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,5,189721,window
89929,ESEMAN,ds_window,14476627015,18315390535,64,3951,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,4,191392,window
89929,ESEMAN,ds_window,13197039175,20874566215,64,2823,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,5,200143,window
89929,ESEMAN,ds_window,10215247325,22365462140,64,8152,a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,5,193401,window
89929,ESEMAN,ds_window,13197039172,16401878446,64,12520,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,6,192124,window
Initial serve memory: 624.348 MB
Post serve memory: 999.98 MB
Post data serve memory: 2030.86 MB
