dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,5,3610758,window
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,6,5563154,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225839,216694197564,4176,6,3076275,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,2066519,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093765,177694835290,4176,4,3111919,window
671149b3-d888-4685-af1d-b4fed4337a8f,131280101313,170004820194,4176,4,2661039,window
671149b3-d888-4685-af1d-b4fed4337a8f,149955852261,160666944720,4176,4,1664368,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,5,2132864,window
671149b3-d888-4685-af1d-b4fed4337a8f,101618614513,190603074916,4176,4,3931149,window
671149b3-d888-4685-af1d-b4fed4337a8f,118371861687,157096580568,4176,4,2720381,window
671149b3-d888-4685-af1d-b4fed4337a8f,140343333393,151878356037,4176,4,1827400,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225841,188680571141,4176,6,3545546,window
671149b3-d888-4685-af1d-b4fed4337a8f,103815761683,197743803220,4177,7,3841755,window
671149b3-d888-4685-af1d-b4fed4337a8f,118646505083,168082316420,4176,6,3072427,window
671149b3-d888-4685-af1d-b4fed4337a8f,136772969241,181265199441,4176,9,2794490,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093767,199940950389,4176,6,3035440,window
671149b3-d888-4685-af1d-b4fed4337a8f,68112120165,229602437190,4176,7,4597089,window
671149b3-d888-4685-af1d-b4fed4337a8f,107111482439,151603712642,4177,8,2980555,window
671149b3-d888-4685-af1d-b4fed4337a8f,125512589993,159293727737,4176,6,2615036,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854141,181265199441,4176,7,3404195,window
671149b3-d888-4685-af1d-b4fed4337a8f,88710374887,194173439068,4176,8,4200206,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854139,142540480564,4176,4,2331783,window
Initial serve memory: 85975.3 MB
Post serve memory: 86321.1 MB
Post data serve memory:  MB
