dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,4,3850557,window
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,5,6052975,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,2095802,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093765,177694835290,4176,4,3088522,window
671149b3-d888-4685-af1d-b4fed4337a8f,131280101313,170004820194,4176,5,2744353,window
671149b3-d888-4685-af1d-b4fed4337a8f,149955852261,160666944720,4176,5,1654044,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,8,2156586,window
671149b3-d888-4685-af1d-b4fed4337a8f,101618614513,190603074916,4176,5,3951201,window
671149b3-d888-4685-af1d-b4fed4337a8f,118371861687,157096580568,4176,4,2659771,window
671149b3-d888-4685-af1d-b4fed4337a8f,140343333393,151878356037,4176,5,1738724,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225841,188680571141,4176,7,3431865,window
671149b3-d888-4685-af1d-b4fed4337a8f,103815761683,197743803220,4177,4,3776636,window
671149b3-d888-4685-af1d-b4fed4337a8f,118646505083,168082316420,4176,5,2995578,window
671149b3-d888-4685-af1d-b4fed4337a8f,136772969241,181265199441,4176,5,2835107,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093767,199940950389,4176,5,2991700,window
671149b3-d888-4685-af1d-b4fed4337a8f,68112120165,229602437190,4176,4,4344554,window
671149b3-d888-4685-af1d-b4fed4337a8f,107111482439,151603712642,4177,7,2844389,window
671149b3-d888-4685-af1d-b4fed4337a8f,125512589993,159293727737,4176,4,2432848,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854141,181265199441,4176,4,3429771,window
671149b3-d888-4685-af1d-b4fed4337a8f,88710374887,194173439068,4176,5,4060581,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854139,142540480564,4176,4,2347868,window
Initial serve memory: 85764.7 MB
Post serve memory: 86126.5 MB
Post data serve memory:  MB
