dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,5,38819990,window
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,4,68544391,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225839,216694197564,4176,3,23071201,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,7793678,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093765,177694835290,4176,5,18326129,window
671149b3-d888-4685-af1d-b4fed4337a8f,131280101313,170004820194,4176,3,13923821,window
671149b3-d888-4685-af1d-b4fed4337a8f,149955852261,160666944720,4176,3,3838631,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,7834398,window
671149b3-d888-4685-af1d-b4fed4337a8f,101618614513,190603074916,4176,3,31117610,window
671149b3-d888-4685-af1d-b4fed4337a8f,118371861687,157096580568,4176,3,14395977,window
671149b3-d888-4685-af1d-b4fed4337a8f,140343333393,151878356037,4176,4,4343366,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225841,188680571141,4176,3,23473212,window
671149b3-d888-4685-af1d-b4fed4337a8f,103815761683,197743803220,4177,3,30480892,window
671149b3-d888-4685-af1d-b4fed4337a8f,118646505083,168082316420,4176,5,18537195,window
671149b3-d888-4685-af1d-b4fed4337a8f,136772969241,181265199441,4176,4,16113050,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093767,199940950389,4176,4,21584440,window
671149b3-d888-4685-af1d-b4fed4337a8f,68112120165,229602437190,4176,4,43780214,window
671149b3-d888-4685-af1d-b4fed4337a8f,107111482439,151603712642,4177,3,16721322,window
671149b3-d888-4685-af1d-b4fed4337a8f,125512589993,159293727737,4176,3,12365892,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854141,181265199441,4176,4,25118900,window
671149b3-d888-4685-af1d-b4fed4337a8f,88710374887,194173439068,4176,3,36471066,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854139,142540480564,4176,3,10345472,window
Initial serve memory: 86086.3 MB
Post serve memory: 86474.6 MB
Post data serve memory:  MB
