dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,4,3055545,window
671149b3-d888-4685-af1d-b4fed4337a8f,-185109091221,370219856094,4176,4,5610911,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225839,216694197564,4176,4,5805638,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,5515124,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093765,177694835290,4176,5,5290318,window
671149b3-d888-4685-af1d-b4fed4337a8f,131280101313,170004820194,4176,5,5285677,window
671149b3-d888-4685-af1d-b4fed4337a8f,149955852261,160666944720,4176,4,5286779,window
671149b3-d888-4685-af1d-b4fed4337a8f,146110844713,168356959816,4176,4,5424552,window
671149b3-d888-4685-af1d-b4fed4337a8f,101618614513,190603074916,4176,4,5326121,window
671149b3-d888-4685-af1d-b4fed4337a8f,118371861687,157096580568,4176,4,5279880,window
671149b3-d888-4685-af1d-b4fed4337a8f,140343333393,151878356037,4176,4,5287797,window
671149b3-d888-4685-af1d-b4fed4337a8f,121942225841,188680571141,4176,4,5302037,window
671149b3-d888-4685-af1d-b4fed4337a8f,103815761683,197743803220,4177,5,5274720,window
671149b3-d888-4685-af1d-b4fed4337a8f,118646505083,168082316420,4176,4,5296184,window
671149b3-d888-4685-af1d-b4fed4337a8f,136772969241,181265199441,4176,4,5278215,window
671149b3-d888-4685-af1d-b4fed4337a8f,127435093767,199940950389,4176,4,5284488,window
671149b3-d888-4685-af1d-b4fed4337a8f,68112120165,229602437190,4176,4,5293595,window
671149b3-d888-4685-af1d-b4fed4337a8f,107111482439,151603712642,4177,4,5306583,window
671149b3-d888-4685-af1d-b4fed4337a8f,125512589993,159293727737,4176,4,5276204,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854141,181265199441,4176,5,5285942,window
671149b3-d888-4685-af1d-b4fed4337a8f,88710374887,194173439068,4176,4,5312250,window
671149b3-d888-4685-af1d-b4fed4337a8f,114526854139,142540480564,4176,5,5288622,window
Initial serve memory: 86070.2 MB
Post serve memory: 86402.8 MB
Post data serve memory:  MB
