dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,5,749473,window
772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,4,1305439,window
772c7330-d4eb-485b-866a-3b315063f9af,9275368996,16482147904,4177,4,1029143,window
772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,4,884004,window
772c7330-d4eb-485b-866a-3b315063f9af,9693153281,13515879485,4177,4,1076173,window
772c7330-d4eb-485b-866a-3b315063f9af,9985602280,12930981487,4176,4,1011610,window
772c7330-d4eb-485b-866a-3b315063f9af,11406068846,12220748204,4177,4,702944,window
772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,4,881457,window
772c7330-d4eb-485b-866a-3b315063f9af,7729567143,14497672554,4176,4,1203103,window
772c7330-d4eb-485b-866a-3b315063f9af,9003809210,11949188420,4176,4,1010034,window
772c7330-d4eb-485b-866a-3b315063f9af,10674946351,11552293348,4177,4,723836,window
772c7330-d4eb-485b-866a-3b315063f9af,9275368998,14351448054,4177,4,1129948,window
772c7330-d4eb-485b-866a-3b315063f9af,7896680858,15040792124,4176,4,1173520,window
772c7330-d4eb-485b-866a-3b315063f9af,9024698426,12784756988,4177,4,1047609,window
772c7330-d4eb-485b-866a-3b315063f9af,10403386566,13787439270,4176,4,1064129,window
772c7330-d4eb-485b-866a-3b315063f9af,9693153283,15207905836,4177,5,1037681,window
772c7330-d4eb-485b-866a-3b315063f9af,5181083009,17463940973,4176,3,1189580,window
772c7330-d4eb-485b-866a-3b315063f9af,8147351428,11531404135,4176,4,1011463,window
772c7330-d4eb-485b-866a-3b315063f9af,9546928783,12116302132,4176,5,1004665,window
772c7330-d4eb-485b-866a-3b315063f9af,8711360214,13787439270,4176,5,1185230,window
772c7330-d4eb-485b-866a-3b315063f9af,6747774076,14769232339,4177,4,1247742,window
772c7330-d4eb-485b-866a-3b315063f9af,8711360213,10842060065,4177,6,917005,window
Initial serve memory: 15653.4 MB
Post serve memory: 15999.3 MB
Post data serve memory:  MB
