dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,4,1223597,window
772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,4,2173299,window
772c7330-d4eb-485b-866a-3b315063f9af,9275368996,16482147904,4177,4,2130426,window
772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,4,2106046,window
772c7330-d4eb-485b-866a-3b315063f9af,9693153281,13515879485,4177,8,2148584,window
772c7330-d4eb-485b-866a-3b315063f9af,9985602280,12930981487,4176,7,2193708,window
772c7330-d4eb-485b-866a-3b315063f9af,11406068846,12220748204,4177,4,2033077,window
772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,4,2024491,window
772c7330-d4eb-485b-866a-3b315063f9af,7729567143,14497672554,4176,3,1979204,window
772c7330-d4eb-485b-866a-3b315063f9af,9003809210,11949188420,4176,4,1976901,window
772c7330-d4eb-485b-866a-3b315063f9af,10674946351,11552293348,4177,8,2086872,window
772c7330-d4eb-485b-866a-3b315063f9af,9275368998,14351448054,4177,8,2230750,window
772c7330-d4eb-485b-866a-3b315063f9af,7896680858,15040792124,4176,4,2280495,window
772c7330-d4eb-485b-866a-3b315063f9af,9024698426,12784756988,4177,4,2097655,window
772c7330-d4eb-485b-866a-3b315063f9af,10403386566,13787439270,4176,4,1967773,window
772c7330-d4eb-485b-866a-3b315063f9af,9693153283,15207905836,4177,4,1982507,window
772c7330-d4eb-485b-866a-3b315063f9af,5181083009,17463940973,4176,8,2128793,window
772c7330-d4eb-485b-866a-3b315063f9af,8147351428,11531404135,4176,8,2122381,window
772c7330-d4eb-485b-866a-3b315063f9af,9546928783,12116302132,4176,4,1917972,window
772c7330-d4eb-485b-866a-3b315063f9af,8711360214,13787439270,4176,3,1959377,window
772c7330-d4eb-485b-866a-3b315063f9af,6747774076,14769232339,4177,4,1971500,window
772c7330-d4eb-485b-866a-3b315063f9af,8711360213,10842060065,4177,4,1951659,window
Initial serve memory: 15848.9 MB
Post serve memory: 16181.5 MB
Post data serve memory:  MB
