tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
120754441,ESEMAN,ds_window,-14078772500,28159218652,1,13022,772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,5,88959,window
120754441,ESEMAN,ds_window,9567817996,16335923404,1,1263844,772c7330-d4eb-485b-866a-3b315063f9af,9567817996,16335923404,4176,8,1325253,window
120754441,ESEMAN,ds_window,11698517846,12074523704,1,322157,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,6,390006,window
120754441,ESEMAN,ds_attribute,11889492086,5,1,13,772c7330-d4eb-485b-866a-3b315063f9af,11889492086,5,147838,752,16652,attribute
120754441,ESEMAN,ds_window,11698517846,12074523704,1,4089,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,5,61947,window
120754441,ESEMAN,ds_attribute,11931000395,6,1,14,772c7330-d4eb-485b-866a-3b315063f9af,11931000395,6,193073,642,9906,attribute
120754441,ESEMAN,ds_window,11698517846,12074523704,1,4491,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,4,63178,window
120754441,ESEMAN,ds_attribute,11887871371,3,1,13,772c7330-d4eb-485b-866a-3b315063f9af,11887871371,3,100868,647,7533,attribute
120754441,ESEMAN,ds_window,11698517846,12074523704,1,4500,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,4,63176,window
120754441,ESEMAN,ds_attribute,11929109561,8,1,9,772c7330-d4eb-485b-866a-3b315063f9af,11929109561,8,241963,617,5016,attribute
120754441,ESEMAN,ds_window,11698517846,12074523704,1,4508,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,5,62330,window
120754441,ESEMAN,ds_attribute,11931810753,8,1,13,772c7330-d4eb-485b-866a-3b315063f9af,11931810753,8,241972,612,3250,attribute
120754441,ESEMAN,ds_window,11698517846,12074523704,1,4517,772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,5,64101,window
Initial serve memory: 5889.26 MB
Post serve memory: 6605.63 MB
Post data serve memory: 3074.47 MB
