tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
5259445,ESEMAN,ds_window,-14078772500,28159218652,1,15,16882,772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,5,86472,window
5259445,ESEMAN,ds_window,-14078772500,28159218652,1,15,29703,772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,6,144813,window
5259445,ESEMAN,ds_window,9275368996,16482147904,1,15,500174,772c7330-d4eb-485b-866a-3b315063f9af,9275368996,16482147904,4177,4,619968,window
5259445,ESEMAN,ds_window,11113619847,12805646202,1,15,551761,772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,4,671034,window
5259445,ESEMAN,ds_window,9693153281,13515879485,1,15,332339,772c7330-d4eb-485b-866a-3b315063f9af,9693153281,13515879485,4177,5,452130,window
5259445,ESEMAN,ds_window,9985602280,12930981487,1,15,108829,772c7330-d4eb-485b-866a-3b315063f9af,9985602280,12930981487,4176,5,228057,window
5259445,ESEMAN,ds_window,11406068846,12220748204,1,15,41464,772c7330-d4eb-485b-866a-3b315063f9af,11406068846,12220748204,4177,5,157455,window
5259445,ESEMAN,ds_window,11113619847,12805646202,1,15,23147,772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,6,138241,window
5259445,ESEMAN,ds_window,7729567143,14497672554,1,15,225069,772c7330-d4eb-485b-866a-3b315063f9af,7729567143,14497672554,4176,5,344731,window
5259445,ESEMAN,ds_window,9003809210,11949188420,1,15,181730,772c7330-d4eb-485b-866a-3b315063f9af,9003809210,11949188420,4176,5,301310,window
5259445,ESEMAN,ds_window,10674946351,11552293348,1,15,108204,772c7330-d4eb-485b-866a-3b315063f9af,10674946351,11552293348,4177,6,226090,window
5259445,ESEMAN,ds_window,9275368998,14351448054,1,15,76255,772c7330-d4eb-485b-866a-3b315063f9af,9275368998,14351448054,4177,5,195499,window
5259445,ESEMAN,ds_window,7896680858,15040792124,1,15,40468,772c7330-d4eb-485b-866a-3b315063f9af,7896680858,15040792124,4176,5,156122,window
5259445,ESEMAN,ds_window,9024698426,12784756988,1,15,36254,772c7330-d4eb-485b-866a-3b315063f9af,9024698426,12784756988,4177,4,152444,window
5259445,ESEMAN,ds_window,10403386566,13787439270,1,15,79576,772c7330-d4eb-485b-866a-3b315063f9af,10403386566,13787439270,4176,4,199221,window
5259445,ESEMAN,ds_window,9693153283,15207905836,1,15,34411,772c7330-d4eb-485b-866a-3b315063f9af,9693153283,15207905836,4177,4,150046,window
5259445,ESEMAN,ds_window,5181083009,17463940973,1,15,84189,772c7330-d4eb-485b-866a-3b315063f9af,5181083009,17463940973,4176,6,203122,window
5259445,ESEMAN,ds_window,8147351428,11531404135,1,15,164723,772c7330-d4eb-485b-866a-3b315063f9af,8147351428,11531404135,4176,5,284135,window
5259445,ESEMAN,ds_window,9546928783,12116302132,1,15,71775,772c7330-d4eb-485b-866a-3b315063f9af,9546928783,12116302132,4176,5,190830,window
5259445,ESEMAN,ds_window,8711360214,13787439270,1,15,41634,772c7330-d4eb-485b-866a-3b315063f9af,8711360214,13787439270,4176,5,157883,window
5259445,ESEMAN,ds_window,6747774076,14769232339,1,15,93350,772c7330-d4eb-485b-866a-3b315063f9af,6747774076,14769232339,4177,6,214128,window
5259445,ESEMAN,ds_window,8711360213,10842060065,1,15,184567,772c7330-d4eb-485b-866a-3b315063f9af,8711360213,10842060065,4177,5,303485,window
Initial serve memory: 4799.02 MB
Post serve memory: 5130.64 MB
Post data serve memory: 3510.96 MB
