tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
5243486,ESEMAN,ds_window,-14078772500,28159218652,1,15,11856,772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,5,83799,window
5243486,ESEMAN,ds_window,-14078772500,28159218652,1,15,21095,772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,5,137795,window
5243486,ESEMAN,ds_window,9275368996,16482147904,1,15,724792,772c7330-d4eb-485b-866a-3b315063f9af,9275368996,16482147904,4177,6,863072,window
5243486,ESEMAN,ds_window,11113619847,12805646202,1,15,715726,772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,6,843464,window
5243486,ESEMAN,ds_window,9693153281,13515879485,1,15,434413,772c7330-d4eb-485b-866a-3b315063f9af,9693153281,13515879485,4177,5,557399,window
5243486,ESEMAN,ds_window,9985602280,12930981487,1,15,123904,772c7330-d4eb-485b-866a-3b315063f9af,9985602280,12930981487,4176,5,246117,window
5243486,ESEMAN,ds_window,11406068846,12220748204,1,15,48333,772c7330-d4eb-485b-866a-3b315063f9af,11406068846,12220748204,4177,5,166712,window
5243486,ESEMAN,ds_window,11113619847,12805646202,1,15,20968,772c7330-d4eb-485b-866a-3b315063f9af,11113619847,12805646202,4176,5,137360,window
5243486,ESEMAN,ds_window,7729567143,14497672554,1,15,285122,772c7330-d4eb-485b-866a-3b315063f9af,7729567143,14497672554,4176,5,406317,window
5243486,ESEMAN,ds_window,9003809210,11949188420,1,15,235634,772c7330-d4eb-485b-866a-3b315063f9af,9003809210,11949188420,4176,5,356335,window
5243486,ESEMAN,ds_window,10674946351,11552293348,1,15,135680,772c7330-d4eb-485b-866a-3b315063f9af,10674946351,11552293348,4177,4,254766,window
5243486,ESEMAN,ds_window,9275368998,14351448054,1,15,76916,772c7330-d4eb-485b-866a-3b315063f9af,9275368998,14351448054,4177,5,197750,window
5243486,ESEMAN,ds_window,7896680858,15040792124,1,15,31621,772c7330-d4eb-485b-866a-3b315063f9af,7896680858,15040792124,4176,5,150308,window
5243486,ESEMAN,ds_window,9024698426,12784756988,1,15,30970,772c7330-d4eb-485b-866a-3b315063f9af,9024698426,12784756988,4177,4,149304,window
5243486,ESEMAN,ds_window,10403386566,13787439270,1,15,84242,772c7330-d4eb-485b-866a-3b315063f9af,10403386566,13787439270,4176,5,205475,window
5243486,ESEMAN,ds_window,9693153283,15207905836,1,15,28277,772c7330-d4eb-485b-866a-3b315063f9af,9693153283,15207905836,4177,5,150892,window
5243486,ESEMAN,ds_window,5181083009,17463940973,1,15,77673,772c7330-d4eb-485b-866a-3b315063f9af,5181083009,17463940973,4176,6,197426,window
5243486,ESEMAN,ds_window,8147351428,11531404135,1,15,199637,772c7330-d4eb-485b-866a-3b315063f9af,8147351428,11531404135,4176,5,321058,window
5243486,ESEMAN,ds_window,9546928783,12116302132,1,15,87695,772c7330-d4eb-485b-866a-3b315063f9af,9546928783,12116302132,4176,5,208470,window
5243486,ESEMAN,ds_window,8711360214,13787439270,1,15,34227,772c7330-d4eb-485b-866a-3b315063f9af,8711360214,13787439270,4176,5,152375,window
5243486,ESEMAN,ds_window,6747774076,14769232339,1,15,100444,772c7330-d4eb-485b-866a-3b315063f9af,6747774076,14769232339,4177,5,221988,window
5243486,ESEMAN,ds_window,8711360213,10842060065,1,15,220051,772c7330-d4eb-485b-866a-3b315063f9af,8711360213,10842060065,4177,4,340534,window
Initial serve memory: 4799.03 MB
Post serve memory: 5130.65 MB
Post data serve memory: 3510.96 MB
