tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
5640,ESEMAN,ds_window,-299856534,709352817,8,732,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,5,173751,window
5640,ESEMAN,ds_window,-299856534,709352817,8,502,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,4,44964,window
5640,ESEMAN,ds_window,258342684,430253208,8,267,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,3,53805,window
5640,ESEMAN,ds_window,302108469,342721638,8,281,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,4,55947,window
5640,ESEMAN,ds_window,268356887,359597429,8,233,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,5,46877,window
5640,ESEMAN,ds_window,275218472,345874259,8,191,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,5,53153,window
5640,ESEMAN,ds_window,308970054,328998468,8,138,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,6,46364,window
5640,ESEMAN,ds_window,302108469,342721638,8,144,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,7,53256,window
5640,ESEMAN,ds_window,221253033,383149356,8,248,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,4,45877,window
5640,ESEMAN,ds_window,251666546,322322330,8,152,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,5,51075,window
5640,ESEMAN,ds_window,291908817,312493572,8,86,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,5,49686,window
5640,ESEMAN,ds_window,258342684,379625838,8,242,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,6,52783,window
5640,ESEMAN,ds_window,224961998,396316181,8,264,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,6,53123,window
5640,ESEMAN,ds_window,251851994,342536189,8,172,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,4,51883,window
5640,ESEMAN,ds_window,285418128,366088116,8,148,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,4,48775,window
5640,ESEMAN,ds_window,268542338,399839696,8,174,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,4,51588,window
5640,ESEMAN,ds_window,160982354,453619688,8,326,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,6,52448,window
5640,ESEMAN,ds_window,231638135,312308126,8,155,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,4,39250,window
5640,ESEMAN,ds_window,265204271,325845845,8,137,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,5,39676,window
5640,ESEMAN,ds_window,244990412,366273563,8,249,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,6,51967,window
5640,ESEMAN,ds_window,197886556,389825491,8,208,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,6,45433,window
5640,ESEMAN,ds_window,244990410,295617783,8,163,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,4,50610,window
Initial serve memory: 355.109 MB
Post serve memory: 727.082 MB
Post data serve memory: 1940.93 MB
