tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
1401905,AGC,ds_window,-1305029698,2753780939,8,223,faf17535-2f66-4621-995f-49c7dbd84e8b,47907181,None,4101,177,21057030,attribute
1401905,AGC,ds_window,-1305029698,2753780939,8,207,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,5,36691,window
1401905,AGC,ds_window,939159368,1631686406,8,340,faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,36948,window
1401905,AGC,ds_window,1115803945,1278397252,8,343,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,4,36657,window
1401905,AGC,ds_window,979305861,1346646294,8,365,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,36826,window
1401905,AGC,ds_window,1007408408,1290441200,8,355,faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,37811,window
1401905,AGC,ds_window,1143906492,1222192158,8,292,faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,36589,window
1401905,AGC,ds_window,1115803945,1278397252,8,339,faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,4,36678,window
1401905,AGC,ds_window,790617335,1440990557,8,362,faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,35926,window
1401905,AGC,ds_window,913064145,1196096937,8,281,faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,36020,window
1401905,AGC,ds_window,1073650126,1157957767,8,288,faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,36273,window
1401905,AGC,ds_window,939159368,1426939283,8,388,faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,36238,window
1401905,AGC,ds_window,806675934,1493181000,8,339,faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,36593,window
1401905,AGC,ds_window,915071471,1276389926,8,320,faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,36247,window
1401905,AGC,ds_window,1047554904,1372741515,8,391,faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,4,36295,window
1401905,AGC,ds_window,979305863,1509239597,8,365,faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,4,36244,window
1401905,AGC,ds_window,545723717,1726030670,8,296,faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,4,36664,window
1401905,AGC,ds_window,830763831,1155950442,8,226,faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,5,36370,window
1401905,AGC,ds_window,965254590,1212155535,8,282,faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,36423,window
1401905,AGC,ds_window,884961600,1372741515,8,356,faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,4,35930,window
1401905,AGC,ds_window,696273072,1467085779,8,344,faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,5,36274,window
1401905,AGC,ds_window,884961599,1089708725,8,173,faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,4,36426,window
,faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,6,36403,window
Initial serve memory: 4146.26 MB
Post serve memory: 4482.27 MB
Post data serve memory: 212.613 MB
