dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,4,121631,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,105781,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,5,107322,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,5,77737,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,98412,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,5,87900,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,5,62406,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,6,77532,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,5,107580,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,67958,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,59882,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,110846,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,104767,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,4,85241,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,5,106353,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,4,107463,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,4,107347,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,63157,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,4,71079,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,4,102274,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,5,107877,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,5,48989,window
Initial serve memory: 14950.1 MB
Post serve memory: 15328.4 MB
Post data serve memory:  MB
