tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
194365918,AGC,ds_window,-5507561878,11158845299,1,20696,908fc737-2cc7-41d8-8281-7dd9e83155ff,47907181,None,508647,71,1438682233,attribute
194365918,AGC,ds_window,-5507561878,11158845299,1,12036,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,696328,window
194365918,AGC,ds_window,-5507561878,11158845299,1,13202,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,606134,window_cond
194365918,AGC,ds_window,-5507561878,11158845299,1,19263,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,3,814256,window
194365918,AGC,ds_window,-5507561878,11158845299,1,18795,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,594540,window_cond
194365918,AGC,ds_window,-5507561878,11158845299,1,12192,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,613795,window
194365918,AGC,ds_window,3710719194,6549704763,1,24197,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,576316,window_cond
194365918,AGC,ds_window,3710719194,6549704763,1,17321,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,4,621376,window
,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,1302034,window_cond
Initial serve memory: 4911.75 MB
Post serve memory:  MB
Post data serve memory: 7404.19 MB
