tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
190731824,AGC,ds_window,-5507561878,11158845299,1,769,908fc737-2cc7-41d8-8281-7dd9e83155ff,47907181,None,508647,72,1489639890,attribute
190731824,AGC,ds_window,-5507561878,11158845299,1,1566,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,3,134396,window
190731824,AGC,ds_window,3707593028,6551267846,1,3990,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,3,63053,window
190731824,AGC,ds_window,4432936169,5100581564,1,172,908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593028,6551267846,4176,4,64998,window
190731824,AGC,ds_window,3872443743,5380827777,1,8930,908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,4,60941,window
190731824,AGC,ds_window,3987839242,5150036779,1,4190,908fc737-2cc7-41d8-8281-7dd9e83155ff,3872443743,5380827777,4176,6,68529,window
190731824,AGC,ds_window,4548331668,4869790566,1,159,908fc737-2cc7-41d8-8281-7dd9e83155ff,3987839242,5150036779,4176,3,61289,window
190731824,AGC,ds_window,4432936169,5100581564,1,159,908fc737-2cc7-41d8-8281-7dd9e83155ff,4548331668,4869790566,4176,3,58938,window
190731824,AGC,ds_window,3097645387,5768226955,1,7436,908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,3,59447,window
190731824,AGC,ds_window,3600440064,4762637601,1,10019,908fc737-2cc7-41d8-8281-7dd9e83155ff,3097645387,5768226955,4177,5,66754,window
190731824,AGC,ds_window,4259842922,4606029422,1,152,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600440064,4762637601,4176,6,66585,window
190731824,AGC,ds_window,3707593031,5710529204,1,8170,908fc737-2cc7-41d8-8281-7dd9e83155ff,4259842922,4606029422,4177,4,62238,window
190731824,AGC,ds_window,3163585673,5982532883,1,7219,908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593031,5710529204,4176,4,64716,window
190731824,AGC,ds_window,3608682600,5092339029,1,9467,908fc737-2cc7-41d8-8281-7dd9e83155ff,3163585673,5982532883,4176,4,66445,window
190731824,AGC,ds_window,4152689959,5487980740,1,4590,908fc737-2cc7-41d8-8281-7dd9e83155ff,3608682600,5092339029,4176,5,66078,window
190731824,AGC,ds_window,3872443745,6048473168,1,5353,908fc737-2cc7-41d8-8281-7dd9e83155ff,4152689959,5487980740,4176,4,63578,window
190731824,AGC,ds_window,2092056031,6938667025,1,3405,908fc737-2cc7-41d8-8281-7dd9e83155ff,3872443745,6048473168,4177,4,62050,window
190731824,AGC,ds_window,3262496100,4597786887,1,9095,908fc737-2cc7-41d8-8281-7dd9e83155ff,2092056031,6938667025,4176,4,65321,window
190731824,AGC,ds_window,3814745994,4828577886,1,9109,908fc737-2cc7-41d8-8281-7dd9e83155ff,3262496100,4597786887,4177,6,65691,window
190731824,AGC,ds_window,3485044567,5487980740,1,8509,908fc737-2cc7-41d8-8281-7dd9e83155ff,3814745994,4828577886,4176,4,67778,window
190731824,AGC,ds_window,2710246209,5875379919,1,7223,908fc737-2cc7-41d8-8281-7dd9e83155ff,3485044567,5487980740,4177,4,65237,window
190731824,AGC,ds_window,3485044564,4325783209,1,9963,908fc737-2cc7-41d8-8281-7dd9e83155ff,2710246209,5875379919,4176,3,66374,window
,908fc737-2cc7-41d8-8281-7dd9e83155ff,3485044564,4325783209,4177,4,66843,window
Initial serve memory: 4911.79 MB
Post serve memory: 5337.38 MB
Post data serve memory: 7404.09 MB
