dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
772c7330-d4eb-485b-866a-3b315063f9af,-14078772500,28159218652,4176,6,785305,window
772c7330-d4eb-485b-866a-3b315063f9af,9567817996,16335923404,4176,7,549181,window
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,8,332812,window
772c7330-d4eb-485b-866a-3b315063f9af,11889492086,5,147838,2070,18897,attribute
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,8,343560,window
772c7330-d4eb-485b-866a-3b315063f9af,11931000395,6,193073,1737,8876,attribute
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,5,338522,window
772c7330-d4eb-485b-866a-3b315063f9af,11887871371,3,100868,1985,7918,attribute
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,4,329650,window
772c7330-d4eb-485b-866a-3b315063f9af,11929109561,8,241963,1573,4964,attribute
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,3,329419,window
772c7330-d4eb-485b-866a-3b315063f9af,11931810753,8,241972,1694,2434,attribute
772c7330-d4eb-485b-866a-3b315063f9af,11698517846,12074523704,4176,4,331815,window
Initial serve memory: 25702.1 MB
Post serve memory: 26299.6 MB
Post data serve memory:  MB
