DuckDB database created in 1762 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,3,14829504,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,3002753,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,20115543,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,5114996,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,39085229,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,10423478,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,3,23188408,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,5789335,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,3,52426176,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,14634433,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,5,2744670,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,2689844,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,4,42796287,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,/phylanx$0/__add$0/1$45$8,11396715,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,4,18637592,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,/phylanx$0/__add$0/1$45$8,7242798,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,5,1872573,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,/phylanx$0/__add$0/1$45$8,2551472,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,3,2020977,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,2606912,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,4,59079815,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,/phylanx$0/__add$0/1$45$8,14699667,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,5,31217536,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,/phylanx$0/__add$0/1$45$8,9374384,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,4,1719204,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,/phylanx$0/__add$0/1$45$8,2550089,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,4,59436954,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,/phylanx$0/__add$0/1$45$8,14623028,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,4,59113904,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,/phylanx$0/__add$0/1$45$8,14599137,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,4,30595550,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,/phylanx$0/__add$0/1$45$8,9506330,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,5,28218619,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,/phylanx$0/__add$0/1$45$8,7967760,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,3,57681194,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,/phylanx$0/__add$0/1$45$8,14557810,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,3,91179185,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,/phylanx$0/__add$0/1$45$8,20485715,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,5,30988217,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,/phylanx$0/__add$0/1$45$8,9509214,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,4,30984286,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,/phylanx$0/__add$0/1$45$8,9483656,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,4,52679520,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,/phylanx$0/__add$0/1$45$8,13118128,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,4,68694041,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,/phylanx$0/__add$0/1$45$8,16160288,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,4,30833443,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,/phylanx$0/__add$0/1$45$8,9493545,window_cond
Initial serve memory: 16209.8 MB
Post serve memory: 16671.7 MB
Post data serve memory:  MB
