dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,5,1951023,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3822988528,6493570096,4176,7,671446,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,43027,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4742777352,4,979107,12168,11822,attribute
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,42766,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,43662,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4743949781,7,1053135,2884,16165,attribute
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,43273,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,4,42933,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4743914253,7,1053135,2909,1243,attribute
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,42730,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,42978,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4739082422,8,907683,2812,9464,attribute
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,43683,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,4,42744,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4739615344,8,907683,2839,3671,attribute
908fc737-2cc7-41d8-8281-7dd9e83155ff,4663727168,4812092816,4176,5,43545,window
Initial serve memory: 25705.1 MB
Post serve memory: 26333.2 MB
Post data serve memory:  MB
