dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,6,1876723,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,4176,6,3103613,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593028,6551267846,4176,5,1637370,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,5,84268,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3872443743,5380827777,4176,5,1149297,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3987839242,5150036779,4176,5,576842,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4548331668,4869790566,4176,6,83247,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4432936169,5100581564,4176,7,84482,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3097645387,5768226955,4177,10,1650866,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3600440064,4762637601,4176,5,859248,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4259842922,4606029422,4177,5,81910,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3707593031,5710529204,4176,6,1774210,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3163585673,5982532883,4176,5,1787235,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3608682600,5092339029,4176,6,857008,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4152689959,5487980740,4176,8,836928,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3872443745,6048473168,4177,7,1618617,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2092056031,6938667025,4176,6,2367404,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3262496100,4597786887,4177,6,874455,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3814745994,4828577886,4176,5,857624,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3485044567,5487980740,4177,6,1418010,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2710246209,5875379919,4176,5,1808542,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3485044564,4325783209,4177,5,837643,window
Initial serve memory: 23961.4 MB
Post serve memory: 24637.5 MB
Post data serve memory:  MB
