DuckDB database created in 1762 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,5,3948970,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,3496846,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,3497728,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,5246364,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,3901798,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,11924816,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,4,8443008,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,11828140,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,5,16544600,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,29411242,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,5,22754528,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,29233387,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,5,22517746,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,/phylanx$0/__add$0/1$45$8,29334613,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,3,22580035,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,/phylanx$0/__add$0/1$45$8,29432443,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,3,22389067,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,/phylanx$0/__add$0/1$45$8,29370863,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,5,22191397,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,29833766,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,5,22619239,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,/phylanx$0/__add$0/1$45$8,29379553,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,4,22515926,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,/phylanx$0/__add$0/1$45$8,29687469,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,4,22293339,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,/phylanx$0/__add$0/1$45$8,29563265,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,5,22440299,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,/phylanx$0/__add$0/1$45$8,29265101,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,5,22514764,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,/phylanx$0/__add$0/1$45$8,29405677,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,4,22553346,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,/phylanx$0/__add$0/1$45$8,29781957,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,4,22139971,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,/phylanx$0/__add$0/1$45$8,29465502,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,5,22368190,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,/phylanx$0/__add$0/1$45$8,29392064,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,3,22660575,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,/phylanx$0/__add$0/1$45$8,29278344,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,4,22453289,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,/phylanx$0/__add$0/1$45$8,29457682,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,3,22589569,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,/phylanx$0/__add$0/1$45$8,29529864,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,5,22785714,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,/phylanx$0/__add$0/1$45$8,29581723,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,3,23009759,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,/phylanx$0/__add$0/1$45$8,29402570,window_cond
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,4,22623874,window
908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,/phylanx$0/__add$0/1$45$8,29387669,window_cond
Initial serve memory: 16209.9 MB
Post serve memory: 16711.8 MB
Post data serve memory:  MB
