tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,61224,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,734904,window
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,24853,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,626266,window_cond
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,59382,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,825911,window
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,30229,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,610605,window_cond
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,46884,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,632253,window
5269869,ESEMAN,ds_window,-5507561878,11158845299,1,21355,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,581377,window_cond
5269869,ESEMAN,ds_window,3710719194,6549704763,1,698667,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,3,1908167,window
5269869,ESEMAN,ds_window,3710719194,6549704763,1,25998,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,1249740,window_cond
5269869,ESEMAN,ds_window,3710719194,6549704763,1,477026,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,3,1724200,window
5269869,ESEMAN,ds_window,3710719194,6549704763,1,41363,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,1996484,window_cond
5269869,ESEMAN,ds_window,4433481431,5104180289,1,3046,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,3,2943070,window
5269869,ESEMAN,ds_window,4433481431,5104180289,1,6063,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,3017475,window_cond
5269869,ESEMAN,ds_window,3876096995,5382872507,1,416008,908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,4,2986459,window
5269869,ESEMAN,ds_window,3876096995,5382872507,1,65815,908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,/phylanx$0/__add$0/1$45$8,2989936,window_cond
5269869,ESEMAN,ds_window,3989411413,5156243671,1,186598,908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,4,2578113,window
5269869,ESEMAN,ds_window,3989411413,5156243671,1,36158,908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,/phylanx$0/__add$0/1$45$8,2953374,window_cond
5269869,ESEMAN,ds_window,4546795849,4877551453,1,3057,908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,5,2285175,window
5269869,ESEMAN,ds_window,4546795849,4877551453,1,3282,908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,/phylanx$0/__add$0/1$45$8,2956645,window_cond
5269869,ESEMAN,ds_window,4433481431,5104180289,1,4619,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,3,2396934,window
5269869,ESEMAN,ds_window,4433481431,5104180289,1,3952,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,2932291,window_cond
5269869,ESEMAN,ds_window,3098208825,5771816592,1,182396,908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,5,2556865,window
5269869,ESEMAN,ds_window,3098208825,5771816592,1,50399,908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,/phylanx$0/__add$0/1$45$8,3005858,window_cond
5269869,ESEMAN,ds_window,3600467328,4767299586,1,188191,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,4,2531111,window
5269869,ESEMAN,ds_window,3600467328,4767299586,1,31413,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,/phylanx$0/__add$0/1$45$8,2974518,window_cond
5269869,ESEMAN,ds_window,4265041082,4604984336,1,2019,908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,4,2231255,window
5269869,ESEMAN,ds_window,4265041082,4604984336,1,2707,908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,/phylanx$0/__add$0/1$45$8,2954088,window_cond
5269869,ESEMAN,ds_window,3710719197,5713628106,1,229724,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,5,2645159,window
5269869,ESEMAN,ds_window,3710719197,5713628106,1,49045,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,/phylanx$0/__add$0/1$45$8,2943681,window_cond
5269869,ESEMAN,ds_window,3159459861,5989257774,1,156129,908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,3,2556600,window
5269869,ESEMAN,ds_window,3159459861,5989257774,1,51471,908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,/phylanx$0/__add$0/1$45$8,2971124,window_cond
5269869,ESEMAN,ds_window,3603529879,5101117738,1,92037,908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,5,2448450,window
5269869,ESEMAN,ds_window,3603529879,5101117738,1,32290,908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,/phylanx$0/__add$0/1$45$8,2953837,window_cond
5269869,ESEMAN,ds_window,4157851767,5490061821,1,212557,908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,4,2533357,window
5269869,ESEMAN,ds_window,4157851767,5490061821,1,35944,908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,/phylanx$0/__add$0/1$45$8,2964523,window_cond
5269869,ESEMAN,ds_window,3879159548,6047446259,1,174345,908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,3,2541951,window
5269869,ESEMAN,ds_window,3879159548,6047446259,1,48306,908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,/phylanx$0/__add$0/1$45$8,2955962,window_cond
5269869,ESEMAN,ds_window,2102879472,6935586297,1,534793,908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,5,3377324,window
5269869,ESEMAN,ds_window,2102879472,6935586297,1,80649,908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,/phylanx$0/__add$0/1$45$8,2949613,window_cond
5269869,ESEMAN,ds_window,3269711728,4601921785,1,93488,908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,2,2437311,window
5269869,ESEMAN,ds_window,3269711728,4601921785,1,34381,908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,/phylanx$0/__add$0/1$45$8,2975497,window_cond
5269869,ESEMAN,ds_window,3824033614,4825488070,1,227406,908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,5,2618309,window
5269869,ESEMAN,ds_window,3824033614,4825488070,1,32981,908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,/phylanx$0/__add$0/1$45$8,2959135,window_cond
5269869,ESEMAN,ds_window,3490215462,5493124374,1,148760,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,4,2506778,window
5269869,ESEMAN,ds_window,3490215462,5493124374,1,50826,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,/phylanx$0/__add$0/1$45$8,2977603,window_cond
5269869,ESEMAN,ds_window,2712327290,5882068460,1,232472,908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,3,2643774,window
5269869,ESEMAN,ds_window,2712327290,5882068460,1,79877,908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,/phylanx$0/__add$0/1$45$8,2997543,window_cond
5269869,ESEMAN,ds_window,3490215460,4326292120,1,238492,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,3,2607796,window
5269869,ESEMAN,ds_window,3490215460,4326292120,1,34101,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,/phylanx$0/__add$0/1$45$8,2955431,window_cond
Initial serve memory: 4911.8 MB
Post serve memory: 5289.5 MB
Post data serve memory: 4945.16 MB
