tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,1173700,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,4295507,window
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,129842,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,2321856,window_cond
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,661362,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,2566501,window
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,125088,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,2310937,window_cond
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,322801,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,4,1557123,window
8392656,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,115363,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,/phylanx$0/__add$0/1$45$8,2337105,window_cond
8392656,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,571021,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,3,3351773,window
8392656,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,76206,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,2273465,window_cond
8392656,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,304338,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,5,1534353,window
8392656,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,34762,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,/phylanx$0/__add$0/1$45$8,1218042,window_cond
8392656,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,22987,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,5,2457363,window
8392656,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,164,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,2912,window_cond
8392656,ESEMAN_TWOD,ds_window,3876096995,5382872507,1,543362,908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,6,3338900,window
8392656,ESEMAN_TWOD,ds_window,3876096995,5382872507,1,76154,908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,/phylanx$0/__add$0/1$45$8,2284133,window_cond
8392656,ESEMAN_TWOD,ds_window,3989411413,5156243671,1,275271,908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,3,2627026,window
8392656,ESEMAN_TWOD,ds_window,3989411413,5156243671,1,31007,908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,/phylanx$0/__add$0/1$45$8,2230094,window_cond
8392656,ESEMAN_TWOD,ds_window,4546795849,4877551453,1,16640,908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,4,1218200,window
8392656,ESEMAN_TWOD,ds_window,4546795849,4877551453,1,128,908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,/phylanx$0/__add$0/1$45$8,562,window_cond
8392656,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,19293,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,5,1722569,window
8392656,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,161,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,/phylanx$0/__add$0/1$45$8,1095,window_cond
8392656,ESEMAN_TWOD,ds_window,3098208825,5771816592,1,344205,908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,4,2798697,window
8392656,ESEMAN_TWOD,ds_window,3098208825,5771816592,1,72366,908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,/phylanx$0/__add$0/1$45$8,2281414,window_cond
8392656,ESEMAN_TWOD,ds_window,3600467328,4767299586,1,296226,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,4,2665639,window
8392656,ESEMAN_TWOD,ds_window,3600467328,4767299586,1,46215,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,/phylanx$0/__add$0/1$45$8,2225004,window_cond
8392656,ESEMAN_TWOD,ds_window,4265041082,4604984336,1,11069,908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,5,595448,window
8392656,ESEMAN_TWOD,ds_window,4265041082,4604984336,1,119,908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,/phylanx$0/__add$0/1$45$8,1945,window_cond
8392656,ESEMAN_TWOD,ds_window,3710719197,5713628106,1,385990,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,4,2999928,window
8392656,ESEMAN_TWOD,ds_window,3710719197,5713628106,1,71535,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,/phylanx$0/__add$0/1$45$8,2319299,window_cond
8392656,ESEMAN_TWOD,ds_window,3159459861,5989257774,1,338234,908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,4,2763283,window
8392656,ESEMAN_TWOD,ds_window,3159459861,5989257774,1,65859,908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,/phylanx$0/__add$0/1$45$8,2271432,window_cond
8392656,ESEMAN_TWOD,ds_window,3603529879,5101117738,1,248429,908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,5,2534758,window
8392656,ESEMAN_TWOD,ds_window,3603529879,5101117738,1,41731,908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,/phylanx$0/__add$0/1$45$8,2324688,window_cond
8392656,ESEMAN_TWOD,ds_window,4157851767,5490061821,1,292276,908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,3,2662411,window
8392656,ESEMAN_TWOD,ds_window,4157851767,5490061821,1,43309,908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,/phylanx$0/__add$0/1$45$8,2263523,window_cond
8392656,ESEMAN_TWOD,ds_window,3879159548,6047446259,1,345728,908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,5,2859699,window
8392656,ESEMAN_TWOD,ds_window,3879159548,6047446259,1,81826,908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,/phylanx$0/__add$0/1$45$8,2380110,window_cond
8392656,ESEMAN_TWOD,ds_window,2102879472,6935586297,1,427519,908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,4,3011592,window
8392656,ESEMAN_TWOD,ds_window,2102879472,6935586297,1,96357,908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,/phylanx$0/__add$0/1$45$8,2324350,window_cond
8392656,ESEMAN_TWOD,ds_window,3269711728,4601921785,1,252008,908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,3,2582065,window
8392656,ESEMAN_TWOD,ds_window,3269711728,4601921785,1,53674,908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,/phylanx$0/__add$0/1$45$8,2283281,window_cond
8392656,ESEMAN_TWOD,ds_window,3824033614,4825488070,1,319570,908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,3,2816953,window
8392656,ESEMAN_TWOD,ds_window,3824033614,4825488070,1,48450,908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,/phylanx$0/__add$0/1$45$8,2270714,window_cond
8392656,ESEMAN_TWOD,ds_window,3490215462,5493124374,1,319572,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,3,2709905,window
8392656,ESEMAN_TWOD,ds_window,3490215462,5493124374,1,63280,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,/phylanx$0/__add$0/1$45$8,2296463,window_cond
8392656,ESEMAN_TWOD,ds_window,2712327290,5882068460,1,398859,908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,3,2913883,window
8392656,ESEMAN_TWOD,ds_window,2712327290,5882068460,1,89502,908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,/phylanx$0/__add$0/1$45$8,2346746,window_cond
8392656,ESEMAN_TWOD,ds_window,3490215460,4326292120,1,342075,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,4,2808294,window
8392656,ESEMAN_TWOD,ds_window,3490215460,4326292120,1,38766,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,/phylanx$0/__add$0/1$45$8,2218100,window_cond
Initial serve memory: 4911.73 MB
Post serve memory: 5307.7 MB
Post data serve memory: 5881.15 MB
