tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
3982126,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,259660239,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,262499361,window
3982126,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,609513,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,2,1895444,window
3982126,ESEMAN_TWOD,ds_window,-5507561878,11158845299,1,309528,908fc737-2cc7-41d8-8281-7dd9e83155ff,-5507561878,11158845299,11016,3,1548737,window
3982126,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,6481288,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,5,9341035,window
3982126,ESEMAN_TWOD,ds_window,3710719194,6549704763,1,309948,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719194,6549704763,11016,4,1541920,window
3982126,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,26850,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,4,1731536,window
3982126,ESEMAN_TWOD,ds_window,3876096995,5382872507,1,1264746,908fc737-2cc7-41d8-8281-7dd9e83155ff,3876096995,5382872507,11016,6,4265568,window
3982126,ESEMAN_TWOD,ds_window,3989411413,5156243671,1,314691,908fc737-2cc7-41d8-8281-7dd9e83155ff,3989411413,5156243671,11017,4,2750728,window
3982126,ESEMAN_TWOD,ds_window,4546795849,4877551453,1,22203,908fc737-2cc7-41d8-8281-7dd9e83155ff,4546795849,4877551453,11016,6,1240888,window
3982126,ESEMAN_TWOD,ds_window,4433481431,5104180289,1,25111,908fc737-2cc7-41d8-8281-7dd9e83155ff,4433481431,5104180289,11016,4,1886970,window
3982126,ESEMAN_TWOD,ds_window,3098208825,5771816592,1,355490,908fc737-2cc7-41d8-8281-7dd9e83155ff,3098208825,5771816592,11016,4,2888338,window
3982126,ESEMAN_TWOD,ds_window,3600467328,4767299586,1,328517,908fc737-2cc7-41d8-8281-7dd9e83155ff,3600467328,4767299586,11016,4,2717156,window
3982126,ESEMAN_TWOD,ds_window,4265041082,4604984336,1,10873,908fc737-2cc7-41d8-8281-7dd9e83155ff,4265041082,4604984336,11016,5,605371,window
3982126,ESEMAN_TWOD,ds_window,3710719197,5713628106,1,425626,908fc737-2cc7-41d8-8281-7dd9e83155ff,3710719197,5713628106,11017,4,2990160,window
3982126,ESEMAN_TWOD,ds_window,3159459861,5989257774,1,336255,908fc737-2cc7-41d8-8281-7dd9e83155ff,3159459861,5989257774,11016,4,2784243,window
3982126,ESEMAN_TWOD,ds_window,3603529879,5101117738,1,238533,908fc737-2cc7-41d8-8281-7dd9e83155ff,3603529879,5101117738,11017,4,2541328,window
3982126,ESEMAN_TWOD,ds_window,4157851767,5490061821,1,326374,908fc737-2cc7-41d8-8281-7dd9e83155ff,4157851767,5490061821,11016,4,2807858,window
3982126,ESEMAN_TWOD,ds_window,3879159548,6047446259,1,347981,908fc737-2cc7-41d8-8281-7dd9e83155ff,3879159548,6047446259,11016,6,2786159,window
3982126,ESEMAN_TWOD,ds_window,2102879472,6935586297,1,1418392,908fc737-2cc7-41d8-8281-7dd9e83155ff,2102879472,6935586297,11016,6,4328987,window
3982126,ESEMAN_TWOD,ds_window,3269711728,4601921785,1,240824,908fc737-2cc7-41d8-8281-7dd9e83155ff,3269711728,4601921785,11017,3,2571939,window
3982126,ESEMAN_TWOD,ds_window,3824033614,4825488070,1,347537,908fc737-2cc7-41d8-8281-7dd9e83155ff,3824033614,4825488070,11016,5,2796954,window
3982126,ESEMAN_TWOD,ds_window,3490215462,5493124374,1,311150,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215462,5493124374,11016,5,2753079,window
3982126,ESEMAN_TWOD,ds_window,2712327290,5882068460,1,397350,908fc737-2cc7-41d8-8281-7dd9e83155ff,2712327290,5882068460,11016,4,2979214,window
3982126,ESEMAN_TWOD,ds_window,3490215460,4326292120,1,368862,908fc737-2cc7-41d8-8281-7dd9e83155ff,3490215460,4326292120,11016,6,2871789,window
Initial serve memory: 4911.67 MB
Post serve memory: 5286.13 MB
Post data serve memory: 5726.93 MB
