tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2281549,AGC,ds_window,-21293135811,42592341477,1,10152,a01b2607-32a6-4435-a2ae-20a4d227e5fd,2023285,None,50615,87,115295597,attribute
2281549,AGC,ds_window,-21293135811,42592341477,1,8291,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,3,395679,window
2281549,AGC,ds_window,-21293135811,42592341477,1,3949,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,run_on_completed_on_new_thread,320797,window_cond
2281549,AGC,ds_window,-21293135811,42592341477,1,5387,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,5,180517,window
2281549,AGC,ds_window,14042271509,24924637817,1,2776,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,run_on_completed_on_new_thread,166144,window_cond
2281549,AGC,ds_window,14042271509,24924637817,1,3910,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,4,193240,window
2281549,AGC,ds_window,16812755272,19383670291,1,2094,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,run_on_completed_on_new_thread,172334,window_cond
2281549,AGC,ds_window,16812755272,19383670291,1,3115,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,214010,window
2281549,AGC,ds_window,14676195758,20451950048,1,2451,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,217641,window_cond
2281549,AGC,ds_window,14676195758,20451950048,1,2384,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,5,264869,window
2281549,AGC,ds_window,15110551263,19583239038,1,2513,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,run_on_completed_on_new_thread,189504,window_cond
2281549,AGC,ds_window,15110551263,19583239038,1,3741,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,5,201048,window
2281549,AGC,ds_window,17247110777,18514959281,1,1167,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,run_on_completed_on_new_thread,178365,window_cond
2281549,AGC,ds_window,17247110777,18514959281,1,915,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,4,207136,window
2281549,AGC,ds_window,16812755272,19383670291,1,2092,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,run_on_completed_on_new_thread,167110,window_cond
2281549,AGC,ds_window,16812755272,19383670291,1,1586,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,209358,window
