tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2175652,AGC,ds_window,-21293135811,42592341477,1,16903,a01b2607-32a6-4435-a2ae-20a4d227e5fd,2023285,None,50615,82,63068344,attribute
2175652,AGC,ds_window,-21293135811,42592341477,1,3906,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,3,404151,window
2175652,AGC,ds_window,14042271509,24924637817,1,2744,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,4,175569,window
2175652,AGC,ds_window,16812755272,19383670291,1,2062,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,4,180333,window
2175652,AGC,ds_window,14676195758,20451950048,1,2686,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,184313,window
2175652,AGC,ds_window,15110551263,19583239038,1,2575,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,5,201865,window
2175652,AGC,ds_window,17247110777,18514959281,1,1185,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,3,198891,window
2175652,AGC,ds_window,16812755272,19383670291,1,2085,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,6,196078,window
2175652,AGC,ds_window,11694403912,21942845971,1,4881,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,199508,window
2175652,AGC,ds_window,13619655341,18092343113,1,2362,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,4,194306,window
2175652,AGC,ds_window,16167091683,17470158201,1,1331,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,4,194662,window
2175652,AGC,ds_window,14042271509,21719798549,1,2835,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,5,186884,window
2175652,AGC,ds_window,11929190671,22776338968,1,10119,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,6,185929,window
2175652,AGC,ds_window,13631394678,19371930954,1,2645,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,4,201439,window
2175652,AGC,ds_window,15756214855,20862826876,1,2233,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,3,196090,window
2175652,AGC,ds_window,14687935099,22999386388,1,2815,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,3,189343,window
2175652,AGC,ds_window,7879119069,26403794403,1,6365,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,4,191839,window
2175652,AGC,ds_window,12351806839,17458418863,1,2569,a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,4,204513,window
2175652,AGC,ds_window,14476627015,18315390535,1,2008,a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,4,203829,window
2175652,AGC,ds_window,13197039175,20874566215,1,3155,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,4,196300,window
2175652,AGC,ds_window,10215247325,22365462140,1,10624,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,6,197930,window
2175652,AGC,ds_window,13197039172,16401878446,1,2221,a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,5,202997,window
,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,5,194603,window
Initial serve memory: 624.348 MB
Post serve memory: 1041.32 MB
Post data serve memory: 741.266 MB
