DuckDB database created in 200 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,4,1076880,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,run_on_completed_on_new_thread,460689,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,5,422200,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,run_on_completed_on_new_thread,209753,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,4,374056,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,run_on_completed_on_new_thread,405193,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,2,261050,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,367303,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,6,300814,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,run_on_completed_on_new_thread,392896,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,5,293469,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,run_on_completed_on_new_thread,429997,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,4,224320,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,run_on_completed_on_new_thread,215456,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,267729,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,411215,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,15,396964,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,run_on_completed_on_new_thread,463463,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,2,284117,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,run_on_completed_on_new_thread,329235,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,4,230994,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,run_on_completed_on_new_thread,224598,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,6,337970,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,run_on_completed_on_new_thread,397760,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,5,385215,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,run_on_completed_on_new_thread,419634,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,5,307307,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,run_on_completed_on_new_thread,408224,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,3,293827,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,run_on_completed_on_new_thread,369313,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,5,347507,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,run_on_completed_on_new_thread,395708,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,5,474874,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,run_on_completed_on_new_thread,488718,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,5,288547,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,run_on_completed_on_new_thread,348606,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,5,267680,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,run_on_completed_on_new_thread,305914,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,5,343597,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,run_on_completed_on_new_thread,442999,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,5,423551,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,run_on_completed_on_new_thread,433233,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,5,265482,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,run_on_completed_on_new_thread,399348,window_cond
Initial serve memory: 6042.93 MB
Post serve memory: 6496.07 MB
Post data serve memory:  MB
