DuckDB database created in 117 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,4,1115835,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,4,424617,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,5,359384,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,264594,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,5,305808,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,4,297620,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,4,234555,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,273860,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,4,405361,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,4,293967,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,2,238111,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,6,352414,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,2,397514,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,5,316558,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,4,303113,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,4,355282,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,5,467338,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,11,303210,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,4,279684,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,5,352679,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,3,425208,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,3,277175,window
Initial serve memory: 6050.93 MB
Post serve memory: 6496.32 MB
Post data serve memory:  MB
