tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
676406,ESEMAN,ds_window,-21293135811,42592341477,1,7892,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,4176,5,77729,window
676406,ESEMAN,ds_window,-21293135811,42592341477,1,14777,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,4176,6,131657,window
676406,ESEMAN,ds_window,14030288327,24930629408,1,31979,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14030288327,24930629408,4176,6,153043,window
676406,ESEMAN,ds_window,16810665182,19369875698,1,14009,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16810665182,19369875698,4177,5,133854,window
676406,ESEMAN,ds_window,14662192156,20444112211,1,14087,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14662192156,20444112211,4177,6,131208,window
676406,ESEMAN,ds_window,15104524837,19559446849,1,10009,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15104524837,19559446849,4176,3,129033,window
676406,ESEMAN,ds_window,17252997863,18485210336,1,2940,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17252997863,18485210336,4176,6,117882,window
676406,ESEMAN,ds_window,16810665182,19369875698,1,4253,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16810665182,19369875698,4177,5,120356,window
676406,ESEMAN,ds_window,11692244152,21929086213,1,19468,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11692244152,21929086213,4176,6,138993,window
676406,ESEMAN,ds_window,13619550836,18074472845,1,9990,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619550836,18074472845,4176,6,126940,window
676406,ESEMAN,ds_window,16147166160,17474164206,1,2597,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16147166160,17474164206,4176,7,116953,window
676406,ESEMAN,ds_window,14030288327,21707919872,1,10525,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14030288327,21707919872,4176,6,126890,window
676406,ESEMAN,ds_window,11945005685,22750561193,1,10830,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11945005685,22750561193,4176,3,127711,window
676406,ESEMAN,ds_window,13651146028,19338280507,1,7560,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13651146028,19338280507,4176,6,123842,window
676406,ESEMAN,ds_window,15736428671,20854849700,1,7653,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15736428671,20854849700,4176,4,124565,window
676406,ESEMAN,ds_window,14662192159,23003322724,1,8330,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14662192159,23003322724,4176,3,124219,window
676406,ESEMAN,ds_window,7837630785,26415603411,1,19064,a01b2607-32a6-4435-a2ae-20a4d227e5fd,7837630785,26415603411,4176,7,136173,window
676406,ESEMAN,ds_window,12324147983,17442569015,1,8380,a01b2607-32a6-4435-a2ae-20a4d227e5fd,12324147983,17442569015,4176,4,124174,window
676406,ESEMAN,ds_window,14441025818,18327234377,1,5563,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14441025818,18327234377,4177,6,120040,window
676406,ESEMAN,ds_window,13177218157,20854849699,1,9432,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13177218157,20854849699,4176,5,124244,window
676406,ESEMAN,ds_window,10207270151,22339823702,1,15456,a01b2607-32a6-4435-a2ae-20a4d227e5fd,10207270151,22339823702,4176,6,131737,window
676406,ESEMAN,ds_window,13177218155,16399927694,1,6984,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13177218155,16399927694,4176,6,121283,window
Initial serve memory: 4131.01 MB
Post serve memory: 4468.33 MB
Post data serve memory: 28865.2 MB
