tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
26980,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,927489,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,4,1224706,window
26980,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,11522,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,run_on_completed_on_new_thread,308037,window_cond
26980,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,30929,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,4,197151,window
26980,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,7212,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,run_on_completed_on_new_thread,143174,window_cond
26980,ESEMAN_TWOD,ds_window,14042271509,24924637817,1,48403,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,3,224731,window
26980,ESEMAN_TWOD,ds_window,14042271509,24924637817,1,3405,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,run_on_completed_on_new_thread,161563,window_cond
26980,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,15878,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,3,204692,window
26980,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,2056,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,146691,window_cond
26980,ESEMAN_TWOD,ds_window,14676195758,20451950048,1,18982,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,5,214955,window
26980,ESEMAN_TWOD,ds_window,14676195758,20451950048,1,3047,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,run_on_completed_on_new_thread,136462,window_cond
26980,ESEMAN_TWOD,ds_window,15110551263,19583239038,1,23998,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,4,212294,window
26980,ESEMAN_TWOD,ds_window,15110551263,19583239038,1,2758,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,run_on_completed_on_new_thread,147877,window_cond
26980,ESEMAN_TWOD,ds_window,17247110777,18514959281,1,3353,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,5,198636,window
26980,ESEMAN_TWOD,ds_window,17247110777,18514959281,1,1396,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,run_on_completed_on_new_thread,79886,window_cond
26980,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,11069,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,204522,window
26980,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,2088,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,128868,window_cond
26980,ESEMAN_TWOD,ds_window,11694403912,21942845971,1,38881,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,3,220822,window
26980,ESEMAN_TWOD,ds_window,11694403912,21942845971,1,4216,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,run_on_completed_on_new_thread,134332,window_cond
26980,ESEMAN_TWOD,ds_window,13619655341,18092343113,1,21263,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,5,207248,window
26980,ESEMAN_TWOD,ds_window,13619655341,18092343113,1,2560,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,run_on_completed_on_new_thread,149605,window_cond
26980,ESEMAN_TWOD,ds_window,16167091683,17470158201,1,8823,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,2,195843,window
26980,ESEMAN_TWOD,ds_window,16167091683,17470158201,1,1185,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,run_on_completed_on_new_thread,92669,window_cond
