tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
28800,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,938177,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,4,1233238,window
28800,ESEMAN_TWOD,ds_window,-21293135811,42592341477,1,30780,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,5,194391,window
28800,ESEMAN_TWOD,ds_window,14042271509,24924637817,1,38313,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,4,217306,window
28800,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,15429,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,205076,window
28800,ESEMAN_TWOD,ds_window,14676195758,20451950048,1,19627,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,4,215105,window
28800,ESEMAN_TWOD,ds_window,15110551263,19583239038,1,17235,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,4,213638,window
28800,ESEMAN_TWOD,ds_window,17247110777,18514959281,1,3214,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,5,193589,window
28800,ESEMAN_TWOD,ds_window,16812755272,19383670291,1,12978,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,4,206036,window
28800,ESEMAN_TWOD,ds_window,11694403912,21942845971,1,35043,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,4,215827,window
28800,ESEMAN_TWOD,ds_window,13619655341,18092343113,1,20685,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,5,207073,window
28800,ESEMAN_TWOD,ds_window,16167091683,17470158201,1,3597,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,4,193956,window
28800,ESEMAN_TWOD,ds_window,14042271509,21719798549,1,28262,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,3,206784,window
28800,ESEMAN_TWOD,ds_window,11929190671,22776338968,1,23995,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,4,220265,window
28800,ESEMAN_TWOD,ds_window,13631394678,19371930954,1,25860,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,5,212559,window
28800,ESEMAN_TWOD,ds_window,15756214855,20862826876,1,21793,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,4,206420,window
28800,ESEMAN_TWOD,ds_window,14687935099,22999386388,1,17096,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,4,212297,window
28800,ESEMAN_TWOD,ds_window,7879119069,26403794403,1,45857,a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,3,235250,window
28800,ESEMAN_TWOD,ds_window,12351806839,17458418863,1,22762,a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,4,210237,window
28800,ESEMAN_TWOD,ds_window,14476627015,18315390535,1,16174,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,3,203924,window
28800,ESEMAN_TWOD,ds_window,13197039175,20874566215,1,22140,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,3,220231,window
28800,ESEMAN_TWOD,ds_window,10215247325,22365462140,1,28703,a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,5,214763,window
28800,ESEMAN_TWOD,ds_window,13197039172,16401878446,1,12211,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,5,203602,window
Initial serve memory: 624.344 MB
Post serve memory: 1001.23 MB
Post data serve memory: 2131.27 MB
