tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
300547,ESEMAN,ds_window,-21293135811,42592341477,1,51543,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,4,430752,window
300547,ESEMAN,ds_window,-21293135811,42592341477,1,15408,a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,4,183144,window
300547,ESEMAN,ds_window,14042271509,24924637817,1,36619,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,4,214750,window
300547,ESEMAN,ds_window,16812755272,19383670291,1,7416,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,5,198003,window
300547,ESEMAN,ds_window,14676195758,20451950048,1,14248,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,5,209059,window
300547,ESEMAN,ds_window,15110551263,19583239038,1,14794,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,2,198304,window
300547,ESEMAN,ds_window,17247110777,18514959281,1,4341,a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,3,192778,window
300547,ESEMAN,ds_window,16812755272,19383670291,1,3430,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,3,202833,window
300547,ESEMAN,ds_window,11694403912,21942845971,1,27955,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,3,213305,window
300547,ESEMAN,ds_window,13619655341,18092343113,1,8318,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,5,199173,window
300547,ESEMAN,ds_window,16167091683,17470158201,1,1790,a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,3,195536,window
300547,ESEMAN,ds_window,14042271509,21719798549,1,18130,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,4,198748,window
300547,ESEMAN,ds_window,11929190671,22776338968,1,15979,a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,3,208677,window
300547,ESEMAN,ds_window,13631394678,19371930954,1,8879,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,4,204022,window
300547,ESEMAN,ds_window,15756214855,20862826876,1,8359,a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,4,199397,window
300547,ESEMAN,ds_window,14687935099,22999386388,1,10916,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,3,210063,window
300547,ESEMAN,ds_window,7879119069,26403794403,1,34018,a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,2,224018,window
300547,ESEMAN,ds_window,12351806839,17458418863,1,9371,a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,3,206908,window
300547,ESEMAN,ds_window,14476627015,18315390535,1,10173,a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,4,199864,window
300547,ESEMAN,ds_window,13197039175,20874566215,1,14391,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,4,203822,window
300547,ESEMAN,ds_window,10215247325,22365462140,1,14252,a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,5,196264,window
300547,ESEMAN,ds_window,13197039172,16401878446,1,8226,a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,4,193285,window
Initial serve memory: 624.348 MB
Post serve memory: 1001.98 MB
Post data serve memory: 2114.81 MB
