dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,9537,1204772,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11016,run_on_completed_on_new_thread,796870,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,4002,382658,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,11076,run_on_completed_on_new_thread,359666,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,5328,401215,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,24924637817,11076,run_on_completed_on_new_thread,826465,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,7048,408691,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,831196,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,13465,406085,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14676195758,20451950048,11076,run_on_completed_on_new_thread,817766,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,7025,402828,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15110551263,19583239038,11077,run_on_completed_on_new_thread,797576,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,6110,404097,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17247110777,18514959281,11076,run_on_completed_on_new_thread,832389,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,6644,411108,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16812755272,19383670291,11076,run_on_completed_on_new_thread,784225,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,11267,402506,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11694403912,21942845971,11076,run_on_completed_on_new_thread,843579,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,7205,403003,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619655341,18092343113,11076,run_on_completed_on_new_thread,782623,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,7124,396169,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16167091683,17470158201,11076,run_on_completed_on_new_thread,794697,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,11066,399203,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14042271509,21719798549,11076,run_on_completed_on_new_thread,792777,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,6701,400918,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11929190671,22776338968,11076,run_on_completed_on_new_thread,795183,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,7165,402586,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13631394678,19371930954,11076,run_on_completed_on_new_thread,838630,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,10368,404487,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15756214855,20862826876,11076,run_on_completed_on_new_thread,812860,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,10560,408552,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14687935099,22999386388,11076,run_on_completed_on_new_thread,793852,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,6517,404353,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7879119069,26403794403,11076,run_on_completed_on_new_thread,804141,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,7413,402954,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12351806839,17458418863,11077,run_on_completed_on_new_thread,821283,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,11019,403987,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14476627015,18315390535,11076,run_on_completed_on_new_thread,793607,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,7242,402866,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039175,20874566215,11076,run_on_completed_on_new_thread,841145,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,8641,407168,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10215247325,22365462140,11077,run_on_completed_on_new_thread,823643,window_cond
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,13147,404151,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13197039172,16401878446,11077,run_on_completed_on_new_thread,828783,window_cond
Initial serve memory: 624.348 MB
Post serve memory: 997.371 MB
Post data serve memory:  MB
