dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,4176,3905,338085,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,-21293135811,42592341477,4176,3400,406139,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14030288327,24930629408,4176,3669,406613,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16810665182,19369875698,4177,4368,407432,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14662192156,20444112211,4177,4554,406792,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15104524837,19559446849,4176,4670,407014,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,17252997863,18485210336,4176,4108,405863,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16810665182,19369875698,4177,4451,405995,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11692244152,21929086213,4176,4783,406305,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13619550836,18074472845,4176,4751,406264,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,16147166160,17474164206,4176,4577,406059,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14030288327,21707919872,4176,4510,413286,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,11945005685,22750561193,4176,4653,406301,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13651146028,19338280507,4176,4788,406272,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,15736428671,20854849700,4176,4434,405803,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14662192159,23003322724,4176,4029,406241,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,7837630785,26415603411,4176,4477,406338,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,12324147983,17442569015,4176,4903,406342,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,14441025818,18327234377,4177,4739,407471,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13177218157,20854849699,4176,4863,406707,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,10207270151,22339823702,4176,4863,402791,window
a01b2607-32a6-4435-a2ae-20a4d227e5fd,13177218155,16399927694,4176,4717,401514,window
Initial serve memory: 4131.01 MB
Post serve memory: 4464.83 MB
Post data serve memory:  MB
