DuckDB database created in 1011 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,2444145,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,998240,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,4,450849,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,5,248818,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,5,407117,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,4,345108,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,5,186451,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,264884,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,6,578032,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,5,346083,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,4,179235,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,4,466151,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,4,569347,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,5,404073,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,6,371418,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,5,442273,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,4,802455,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,5,376218,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,4,320177,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,4,502194,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,2,695912,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,5,282166,window
Initial serve memory: 14992.6 MB
Post serve memory: 15671.3 MB
Post data serve memory:  MB
