DuckDB database created in 1015 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,4236,5,3552492,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,4236,3,1500153,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8049210036,14279050710,4236,4,528923,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9638270844,11100929094,4237,5,205716,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8410360220,11714884406,4236,6,430716,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8663165349,11209274148,4236,5,335953,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9891075973,10595318836,4237,6,96903,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9638270844,11100929094,4237,5,203833,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6712954356,12563587338,4237,5,719694,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814462417,10360571216,4236,4,326659,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9259063154,10017478541,4237,3,103713,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8049210039,12437184771,4237,5,521696,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6857414431,13033082575,4237,6,667563,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7832519927,11082871583,4236,4,413698,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9024315535,11949632023,4236,5,384389,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8410360222,13177542649,4237,4,480817,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4509938234,15127753643,4236,6,1382964,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7074104539,9999421033,4237,3,365294,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8283957658,10505031289,4236,3,283076,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7561657291,11949632023,4236,5,559345,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5864251425,12798334956,4236,5,952557,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7561657289,9403523228,4236,5,242541,window
Initial serve memory: 14992.6 MB
Post serve memory: 15476.6 MB
Post data serve memory:  MB
