DuckDB database created in 1015 ms
dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,533171,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,380477,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,207309,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,173453,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,4,164065,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,run_on_completed_on_new_thread,168853,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,3,165865,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,172863,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,4,151856,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,run_on_completed_on_new_thread,169431,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,4,157638,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,run_on_completed_on_new_thread,168497,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,4,159956,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,run_on_completed_on_new_thread,188897,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,2,153476,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,168540,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,4,158317,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,run_on_completed_on_new_thread,171749,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,4,168463,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,run_on_completed_on_new_thread,195309,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,2,151715,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,run_on_completed_on_new_thread,171569,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,5,161334,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,run_on_completed_on_new_thread,174576,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,5,177219,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,run_on_completed_on_new_thread,168942,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,4,159818,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,run_on_completed_on_new_thread,207576,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,5,158434,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,run_on_completed_on_new_thread,174180,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,4,157714,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,run_on_completed_on_new_thread,169064,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,6,178728,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,run_on_completed_on_new_thread,165233,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,3,168136,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,run_on_completed_on_new_thread,169557,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,4,158831,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,run_on_completed_on_new_thread,168661,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,5,172591,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,run_on_completed_on_new_thread,170022,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,4,170832,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,run_on_completed_on_new_thread,170595,window_cond
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,3,161651,window
ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,run_on_completed_on_new_thread,169092,window_cond
Initial serve memory: 14992.6 MB
Post serve memory: 15489.6 MB
Post data serve memory:  MB
