tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2123151,ESEMAN,ds_window,-12139085238,24373198347,1,43469,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,109967,window
2123151,ESEMAN,ds_window,-12139085238,24373198347,1,25612,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,64555,window_cond
2123151,ESEMAN,ds_window,-12139085238,24373198347,1,12253,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,35077,window
2123151,ESEMAN,ds_window,-12139085238,24373198347,1,11286,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,29472,window_cond
2123151,ESEMAN,ds_window,8056058750,14275626353,1,579497,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,3,600586,window
2123151,ESEMAN,ds_window,8056058750,14275626353,1,40,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,run_on_completed_on_new_thread,42576,window_cond
2123151,ESEMAN,ds_window,9639465388,11108813077,1,348020,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,369934,window
2123151,ESEMAN,ds_window,9639465388,11108813077,1,39,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,18362,window_cond
2123151,ESEMAN,ds_window,8418363658,11719363942,1,259030,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,4,280486,window
2123151,ESEMAN,ds_window,8418363658,11719363942,1,38,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,run_on_completed_on_new_thread,19524,window_cond
2123151,ESEMAN,ds_window,8666609614,11222872030,1,67776,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,5,90710,window
2123151,ESEMAN,ds_window,8666609614,11222872030,1,44,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,run_on_completed_on_new_thread,20401,window_cond
2123151,ESEMAN,ds_window,9887711344,10612321165,1,61672,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,5,82355,window
2123151,ESEMAN,ds_window,9887711344,10612321165,1,40,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,run_on_completed_on_new_thread,20720,window_cond
2123151,ESEMAN,ds_window,9639465388,11108813077,1,34266,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,6,54854,window
2123151,ESEMAN,ds_window,9639465388,11108813077,1,40,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,46589,window_cond
2123151,ESEMAN,ds_window,6714188718,12571451412,1,276010,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,2,298531,window
2123151,ESEMAN,ds_window,6714188718,12571451412,1,40,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,run_on_completed_on_new_thread,21370,window_cond
2123151,ESEMAN,ds_window,7814522145,10370784558,1,133431,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,4,189012,window
2123151,ESEMAN,ds_window,7814522145,10370784558,1,37,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,run_on_completed_on_new_thread,41887,window_cond
2123151,ESEMAN,ds_window,9270451131,10015188999,1,74915,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,4,105354,window
