tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
3215299,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,93165,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,159284,window
3215299,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,46688,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,89396,window_cond
3215299,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,31692,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,51136,window
3215299,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,29785,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,run_on_completed_on_new_thread,49298,window_cond
3215299,ESEMAN_TWOD,ds_window,8056058750,14275626353,1,349356,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,5,369694,window
3215299,ESEMAN_TWOD,ds_window,8056058750,14275626353,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,run_on_completed_on_new_thread,763,window_cond
3215299,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,343269,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,3,364823,window
3215299,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,271,window_cond
3215299,ESEMAN_TWOD,ds_window,8418363658,11719363942,1,272065,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,4,292722,window
3215299,ESEMAN_TWOD,ds_window,8418363658,11719363942,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,run_on_completed_on_new_thread,316,window_cond
3215299,ESEMAN_TWOD,ds_window,8666609614,11222872030,1,89316,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,5,135791,window
3215299,ESEMAN_TWOD,ds_window,8666609614,11222872030,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,run_on_completed_on_new_thread,280,window_cond
3215299,ESEMAN_TWOD,ds_window,9887711344,10612321165,1,64510,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,2,85254,window
3215299,ESEMAN_TWOD,ds_window,9887711344,10612321165,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,run_on_completed_on_new_thread,276,window_cond
3215299,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,43051,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,62978,window
3215299,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,run_on_completed_on_new_thread,273,window_cond
3215299,ESEMAN_TWOD,ds_window,6714188718,12571451412,1,219200,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,4,239491,window
3215299,ESEMAN_TWOD,ds_window,6714188718,12571451412,1,4,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,run_on_completed_on_new_thread,267,window_cond
3215299,ESEMAN_TWOD,ds_window,7814522145,10370784558,1,174628,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,4,203324,window
3215299,ESEMAN_TWOD,ds_window,7814522145,10370784558,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,run_on_completed_on_new_thread,268,window_cond
3215299,ESEMAN_TWOD,ds_window,9270451131,10015188999,1,83911,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,5,120489,window
3215299,ESEMAN_TWOD,ds_window,9270451131,10015188999,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,run_on_completed_on_new_thread,278,window_cond
3215299,ESEMAN_TWOD,ds_window,8056058751,12443973759,1,90176,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,5,141895,window
3215299,ESEMAN_TWOD,ds_window,8056058751,12443973759,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,run_on_completed_on_new_thread,284,window_cond
3215299,ESEMAN_TWOD,ds_window,6848375721,13047815274,1,62451,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,4,81703,window
3215299,ESEMAN_TWOD,ds_window,6848375721,13047815274,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,run_on_completed_on_new_thread,272,window_cond
3215299,ESEMAN_TWOD,ds_window,7821231495,11102103726,1,70167,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,3,89615,window
3215299,ESEMAN_TWOD,ds_window,7821231495,11102103726,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,run_on_completed_on_new_thread,265,window_cond
3215299,ESEMAN_TWOD,ds_window,9035623875,11954191197,1,89904,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,3,128915,window
3215299,ESEMAN_TWOD,ds_window,9035623875,11954191197,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,run_on_completed_on_new_thread,272,window_cond
3215299,ESEMAN_TWOD,ds_window,8425073010,13175292927,1,63981,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,3,82985,window
3215299,ESEMAN_TWOD,ds_window,8425073010,13175292927,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,run_on_completed_on_new_thread,279,window_cond
3215299,ESEMAN_TWOD,ds_window,4533649914,15121004475,1,69297,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,4,88593,window
3215299,ESEMAN_TWOD,ds_window,4533649914,15121004475,1,53,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,run_on_completed_on_new_thread,319,window_cond
3215299,ESEMAN_TWOD,ds_window,7089912326,10008479651,1,166604,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,4,195676,window
3215299,ESEMAN_TWOD,ds_window,7089912326,10008479651,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,run_on_completed_on_new_thread,279,window_cond
3215299,ESEMAN_TWOD,ds_window,8304304709,10498262210,1,68880,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,4,89422,window
3215299,ESEMAN_TWOD,ds_window,8304304709,10498262210,1,5,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,run_on_completed_on_new_thread,300,window_cond
3215299,ESEMAN_TWOD,ds_window,7572985541,11960900546,1,75357,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,3,97868,window
3215299,ESEMAN_TWOD,ds_window,7572985541,11960900546,1,4,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,run_on_completed_on_new_thread,275,window_cond
3215299,ESEMAN_TWOD,ds_window,5868810597,12812988018,1,127493,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,3,175031,window
3215299,ESEMAN_TWOD,ds_window,5868810597,12812988018,1,15,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,run_on_completed_on_new_thread,280,window_cond
3215299,ESEMAN_TWOD,ds_window,7572985538,9404638136,1,101083,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,5,148996,window
