tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2588837,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,95193925,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,95255114,window
2588837,ESEMAN_TWOD,ds_window,-12139085238,24373198347,1,25704,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,45493,window
2588837,ESEMAN_TWOD,ds_window,8056058750,14275626353,1,74597078,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,5,74640700,window
2588837,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,24285953,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,5,24336677,window
2588837,ESEMAN_TWOD,ds_window,8418363658,11719363942,1,9961338,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,6,10002910,window
2588837,ESEMAN_TWOD,ds_window,8666609614,11222872030,1,1717553,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,4,1766224,window
2588837,ESEMAN_TWOD,ds_window,9887711344,10612321165,1,1932041,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,5,1978081,window
2588837,ESEMAN_TWOD,ds_window,9639465388,11108813077,1,42315,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,68957,window
2588837,ESEMAN_TWOD,ds_window,6714188718,12571451412,1,7013335,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,4,7051702,window
2588837,ESEMAN_TWOD,ds_window,7814522145,10370784558,1,2563381,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,6,2615684,window
2588837,ESEMAN_TWOD,ds_window,9270451131,10015188999,1,1769132,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,5,1817931,window
2588837,ESEMAN_TWOD,ds_window,8056058751,12443973759,1,553013,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,5,577972,window
2588837,ESEMAN_TWOD,ds_window,6848375721,13047815274,1,68988,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,5,87612,window
2588837,ESEMAN_TWOD,ds_window,7821231495,11102103726,1,70469,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,6,89344,window
2588837,ESEMAN_TWOD,ds_window,9035623875,11954191197,1,633777,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,3,663358,window
2588837,ESEMAN_TWOD,ds_window,8425073010,13175292927,1,55491,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,3,74003,window
2588837,ESEMAN_TWOD,ds_window,4533649914,15121004475,1,3218261,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,6,3255498,window
2588837,ESEMAN_TWOD,ds_window,7089912326,10008479651,1,1406523,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,5,1455411,window
2588837,ESEMAN_TWOD,ds_window,8304304709,10498262210,1,393672,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,5,420412,window
2588837,ESEMAN_TWOD,ds_window,7572985541,11960900546,1,76328,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,5,95672,window
2588837,ESEMAN_TWOD,ds_window,5868810597,12812988018,1,715195,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,5,763862,window
2588837,ESEMAN_TWOD,ds_window,7572985538,9404638136,1,815537,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,7,859572,window
Initial serve memory: 3704.18 MB
Post serve memory: 4066.39 MB
Post data serve memory: 3675.62 MB
