tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
2132839,ESEMAN,ds_window,-12139085238,24373198347,1,39834,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,3,108665,window
2132839,ESEMAN,ds_window,-12139085238,24373198347,1,11207,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,-12139085238,24373198347,11076,4,34094,window
2132839,ESEMAN,ds_window,8056058750,14275626353,1,580496,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058750,14275626353,11077,4,601675,window
2132839,ESEMAN,ds_window,9639465388,11108813077,1,346308,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,5,368117,window
2132839,ESEMAN,ds_window,8418363658,11719363942,1,250431,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8418363658,11719363942,11076,2,272348,window
2132839,ESEMAN,ds_window,8666609614,11222872030,1,71390,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8666609614,11222872030,11076,5,94698,window
2132839,ESEMAN,ds_window,9887711344,10612321165,1,56626,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9887711344,10612321165,11077,5,78142,window
2132839,ESEMAN,ds_window,9639465388,11108813077,1,33296,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9639465388,11108813077,11076,4,52749,window
2132839,ESEMAN,ds_window,6714188718,12571451412,1,281263,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6714188718,12571451412,11076,7,302000,window
2132839,ESEMAN,ds_window,7814522145,10370784558,1,132797,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7814522145,10370784558,11076,4,186006,window
2132839,ESEMAN,ds_window,9270451131,10015188999,1,80341,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9270451131,10015188999,11077,5,118565,window
2132839,ESEMAN,ds_window,8056058751,12443973759,1,58246,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8056058751,12443973759,11076,3,78458,window
2132839,ESEMAN,ds_window,6848375721,13047815274,1,34271,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,6848375721,13047815274,11076,4,53520,window
2132839,ESEMAN,ds_window,7821231495,11102103726,1,45228,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7821231495,11102103726,11076,4,64733,window
2132839,ESEMAN,ds_window,9035623875,11954191197,1,66124,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,9035623875,11954191197,11076,3,87368,window
2132839,ESEMAN,ds_window,8425073010,13175292927,1,38326,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8425073010,13175292927,11076,6,57074,window
2132839,ESEMAN,ds_window,4533649914,15121004475,1,231226,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,4533649914,15121004475,11076,3,251708,window
2132839,ESEMAN,ds_window,7089912326,10008479651,1,122553,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7089912326,10008479651,11076,4,176480,window
2132839,ESEMAN,ds_window,8304304709,10498262210,1,53607,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,8304304709,10498262210,11076,3,76020,window
2132839,ESEMAN,ds_window,7572985541,11960900546,1,40205,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985541,11960900546,11076,4,63681,window
2132839,ESEMAN,ds_window,5868810597,12812988018,1,82869,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,5868810597,12812988018,11077,3,118019,window
2132839,ESEMAN,ds_window,7572985538,9404638136,1,83395,ae63b22a-66a3-4e92-ae49-b8206d8a0e7b,7572985538,9404638136,11076,4,120500,window
Initial serve memory: 3703.99 MB
Post serve memory: 4066.21 MB
Post data serve memory: 4202.49 MB
