tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
3625,AGC,ds_window,-299856534,709352817,1,337,ecc21d0a-112a-4b52-8cdd-6aca80adde93,36546583,None,322,160,1055942,attribute
3625,AGC,ds_window,-299856534,709352817,1,150,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,6,41860,window
3625,AGC,ds_window,258153384,430347858,1,153,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4236,7,37652,window
3625,AGC,ds_window,302075452,342503722,1,130,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,430347858,4236,7,38069,window
3625,AGC,ds_window,268135670,359473613,1,136,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,5,37745,window
3625,AGC,ds_window,275123272,345498409,1,147,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135670,359473613,4236,4,37249,window
3625,AGC,ds_window,309063054,328528518,1,133,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275123272,345498409,4237,6,37348,window
3625,AGC,ds_window,302075452,342503722,1,140,ecc21d0a-112a-4b52-8cdd-6aca80adde93,309063054,328528518,4236,6,37748,window
3625,AGC,ds_window,221218916,382931990,1,170,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,5,37106,window
3625,AGC,ds_window,251664896,322040030,1,124,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221218916,382931990,4237,7,37069,window
3625,AGC,ds_window,291594050,312556856,1,89,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251664896,322040030,4236,6,37174,window
3625,AGC,ds_window,258153384,379438188,1,156,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291594050,312556856,4236,4,36291,window
3625,AGC,ds_window,225211832,395908964,1,146,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,379438188,4236,7,36720,window
3625,AGC,ds_window,252164010,342004608,1,133,ecc21d0a-112a-4b52-8cdd-6aca80adde93,225211832,395908964,4236,5,36920,window
3625,AGC,ds_window,285105564,365962098,1,145,ecc21d0a-112a-4b52-8cdd-6aca80adde93,252164010,342004608,4236,5,36620,window
3625,AGC,ds_window,268135674,399901878,1,142,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285105564,365962098,4236,7,36611,window
3625,AGC,ds_window,160326958,453806236,1,149,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135674,399901878,4236,5,36805,window
3625,AGC,ds_window,231201205,312057742,1,145,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160326958,453806236,4237,5,36466,window
3625,AGC,ds_window,264641872,326032945,1,129,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231201205,312057742,4236,6,36468,window
3625,AGC,ds_window,244677295,365962099,1,140,ecc21d0a-112a-4b52-8cdd-6aca80adde93,264641872,326032945,4236,4,36580,window
3625,AGC,ds_window,197760539,389420477,1,168,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244677295,365962099,4237,6,36466,window
3625,AGC,ds_window,244677294,295586967,1,117,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197760539,389420477,4236,7,36552,window
,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244677294,295586967,4236,5,36660,window
Initial serve memory: 2771.07 MB
Post serve memory: 3106.32 MB
Post data serve memory: 154.375 MB
