tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
1262,AGC,ds_window,-299856534,709352817,1,404,ecc21d0a-112a-4b52-8cdd-6aca80adde93,36546583,None,322,63,521369,attribute
1262,AGC,ds_window,-299856534,709352817,1,104,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,4,145499,window
1262,AGC,ds_window,258342684,430253208,1,106,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,5,46723,window
1262,AGC,ds_window,302108469,342721638,1,161,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,4,53114,window
1262,AGC,ds_window,268356887,359597429,1,175,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,5,52298,window
1262,AGC,ds_window,275218472,345874259,1,175,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,5,50559,window
1262,AGC,ds_window,308970054,328998468,1,176,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,5,50366,window
1262,AGC,ds_window,302108469,342721638,1,170,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,4,53323,window
1262,AGC,ds_window,221253033,383149356,1,191,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,4,49664,window
1262,AGC,ds_window,251666546,322322330,1,166,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,3,53237,window
1262,AGC,ds_window,291908817,312493572,1,144,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,5,53772,window
1262,AGC,ds_window,258342684,379625838,1,241,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,4,56034,window
1262,AGC,ds_window,224961998,396316181,1,178,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,6,55804,window
1262,AGC,ds_window,251851994,342536189,1,179,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,4,49098,window
1262,AGC,ds_window,285418128,366088116,1,233,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,4,56464,window
1262,AGC,ds_window,268542338,399839696,1,241,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,4,56299,window
1262,AGC,ds_window,160982354,453619688,1,186,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,5,56622,window
1262,AGC,ds_window,231638135,312308126,1,172,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,5,58016,window
1262,AGC,ds_window,265204271,325845845,1,172,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,4,64337,window
1262,AGC,ds_window,244990412,366273563,1,180,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,5,54839,window
1262,AGC,ds_window,197886556,389825491,1,186,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,3,50885,window
1262,AGC,ds_window,244990410,295617783,1,211,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,4,49508,window
,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,5,59935,window
Initial serve memory: 355.109 MB
Post serve memory: 726.855 MB
Post data serve memory: 99.4727 MB
