dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,4,224808,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,271130358,423859371,4176,5,206882,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,5,149477,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323869757,6,124,11506,7840,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,145348,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325026828,7,72,2406,2003,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,147980,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323824579,4,558,2086,2459,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,148845,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,324974120,9,308,1988,1160,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,145391,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325049417,9,308,1973,1563,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,147515,window
Initial serve memory: 13008.7 MB
Post serve memory: 13421.4 MB
Post data serve memory:  MB
