dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,4,189932,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4236,4,176014,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,430347858,4236,4,177974,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,3,164419,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135670,359473613,4236,4,166818,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275123272,345498409,4237,4,162912,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,309063054,328528518,4236,3,156345,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,4,166084,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221218916,382931990,4237,3,184767,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251664896,322040030,4236,4,160670,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291594050,312556856,4236,3,132374,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,379438188,4236,3,179101,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,225211832,395908964,4236,16,188689,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,252164010,342004608,4236,10,163224,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,285105564,365962098,4236,4,172386,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135674,399901878,4236,4,184283,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,160326958,453806236,4237,3,179870,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,231201205,312057742,4236,4,151557,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,264641872,326032945,4236,4,163973,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244677295,365962099,4237,3,184100,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,197760539,389420477,4236,3,192484,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244677294,295586967,4236,4,150874,window
Initial serve memory: 13008.4 MB
Post serve memory: 13454.8 MB
Post data serve memory:  MB
