dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,6,45738,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4236,5,39851,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,430347858,4236,7,41166,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,6,36548,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135670,359473613,4236,7,38528,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275123272,345498409,4237,5,35376,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,309063054,328528518,4236,4,36416,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,4,36777,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221218916,382931990,4237,22,43780,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251664896,322040030,4236,8,32048,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291594050,312556856,4236,7,25434,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,379438188,4236,6,42230,window
Initial serve memory: 14626.2 MB
Post serve memory: 14991.1 MB
Post data serve memory:  MB
