dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,4,16859,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,271130358,423859371,4176,3,17117,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,5,12139,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323869757,6,124,7100,14401,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,4,12352,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325026828,7,72,2490,2016,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,11830,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323824579,4,558,2493,2489,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,11951,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,324974120,9,308,2342,1183,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,3,11910,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325049417,9,308,2348,1202,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,4,11974,window
Initial serve memory: 13010.7 MB
Post serve memory: 13366.9 MB
Post data serve memory:  MB
