dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,6,17975,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4236,5,16140,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,430347858,4236,4,17784,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,6,19640,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135670,359473613,4236,5,17326,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275123272,345498409,4237,4,16671,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,309063054,328528518,4236,6,20640,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,4,17933,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221218916,382931990,4237,4,19494,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251664896,322040030,4236,8,17055,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291594050,312556856,4236,5,12615,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,379438188,4236,4,18046,window
Initial serve memory: 14624.2 MB
Post serve memory: 14993.2 MB
Post data serve memory:  MB
