tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
215122,ESEMAN,ds_window,-299856534,709352817,1,542,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,2,160339,window
215122,ESEMAN,ds_window,-299856534,709352817,1,556,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,86795,window_cond
215122,ESEMAN,ds_window,-299856534,709352817,1,199,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,4,44999,window
215122,ESEMAN,ds_window,-299856534,709352817,1,322,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,38065,window_cond
215122,ESEMAN,ds_window,258342684,430253208,1,237,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,5,48295,window
215122,ESEMAN,ds_window,258342684,430253208,1,284,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,halide_hpx_for,36691,window_cond
215122,ESEMAN,ds_window,302108469,342721638,1,178,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,5,54468,window
215122,ESEMAN,ds_window,302108469,342721638,1,206,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,40609,window_cond
215122,ESEMAN,ds_window,268356887,359597429,1,165,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,6,43063,window
215122,ESEMAN,ds_window,268356887,359597429,1,274,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,halide_hpx_for,45027,window_cond
215122,ESEMAN,ds_window,275218472,345874259,1,154,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,5,42437,window
215122,ESEMAN,ds_window,275218472,345874259,1,239,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,halide_hpx_for,45338,window_cond
215122,ESEMAN,ds_window,308970054,328998468,1,138,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,4,48624,window
215122,ESEMAN,ds_window,308970054,328998468,1,199,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,halide_hpx_for,44985,window_cond
215122,ESEMAN,ds_window,302108469,342721638,1,139,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,5,40014,window
215122,ESEMAN,ds_window,302108469,342721638,1,210,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,40348,window_cond
215122,ESEMAN,ds_window,221253033,383149356,1,217,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,3,47042,window
215122,ESEMAN,ds_window,221253033,383149356,1,347,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,halide_hpx_for,40030,window_cond
215122,ESEMAN,ds_window,251666546,322322330,1,146,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,5,47393,window
215122,ESEMAN,ds_window,251666546,322322330,1,211,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,halide_hpx_for,36590,window_cond
215122,ESEMAN,ds_window,291908817,312493572,1,80,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,4,45374,window
215122,ESEMAN,ds_window,291908817,312493572,1,115,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,halide_hpx_for,38546,window_cond
215122,ESEMAN,ds_window,258342684,379625838,1,263,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,3,52818,window
215122,ESEMAN,ds_window,258342684,379625838,1,280,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,halide_hpx_for,39681,window_cond
215122,ESEMAN,ds_window,224961998,396316181,1,204,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,5,39923,window
215122,ESEMAN,ds_window,224961998,396316181,1,316,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,halide_hpx_for,40237,window_cond
215122,ESEMAN,ds_window,251851994,342536189,1,167,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,4,46626,window
215122,ESEMAN,ds_window,251851994,342536189,1,262,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,halide_hpx_for,62254,window_cond
215122,ESEMAN,ds_window,285418128,366088116,1,186,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,6,41950,window
215122,ESEMAN,ds_window,285418128,366088116,1,234,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,halide_hpx_for,38205,window_cond
215122,ESEMAN,ds_window,268542338,399839696,1,175,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,6,42257,window
215122,ESEMAN,ds_window,268542338,399839696,1,258,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,halide_hpx_for,38504,window_cond
215122,ESEMAN,ds_window,160982354,453619688,1,275,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,6,54582,window
215122,ESEMAN,ds_window,160982354,453619688,1,324,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,halide_hpx_for,36982,window_cond
215122,ESEMAN,ds_window,231638135,312308126,1,151,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,6,42585,window
215122,ESEMAN,ds_window,231638135,312308126,1,225,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,halide_hpx_for,37621,window_cond
215122,ESEMAN,ds_window,265204271,325845845,1,140,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,6,41693,window
215122,ESEMAN,ds_window,265204271,325845845,1,196,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,halide_hpx_for,38403,window_cond
215122,ESEMAN,ds_window,244990412,366273563,1,186,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,5,41641,window
