tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
9666,ESEMAN_TWOD,ds_window,-299856534,709352817,1,3144,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,6,194335,window
9666,ESEMAN_TWOD,ds_window,-299856534,709352817,1,670,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,93800,window_cond
9666,ESEMAN_TWOD,ds_window,-299856534,709352817,1,383,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,6,46734,window
9666,ESEMAN_TWOD,ds_window,-299856534,709352817,1,416,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,38750,window_cond
9666,ESEMAN_TWOD,ds_window,258342684,430253208,1,367,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,6,53234,window
9666,ESEMAN_TWOD,ds_window,258342684,430253208,1,312,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,halide_hpx_for,37082,window_cond
9666,ESEMAN_TWOD,ds_window,302108469,342721638,1,174,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,6,47031,window
9666,ESEMAN_TWOD,ds_window,302108469,342721638,1,243,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,39733,window_cond
9666,ESEMAN_TWOD,ds_window,268356887,359597429,1,248,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,5,45274,window
9666,ESEMAN_TWOD,ds_window,268356887,359597429,1,287,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,halide_hpx_for,42518,window_cond
9666,ESEMAN_TWOD,ds_window,275218472,345874259,1,239,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,3,41836,window
9666,ESEMAN_TWOD,ds_window,275218472,345874259,1,248,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,halide_hpx_for,39598,window_cond
9666,ESEMAN_TWOD,ds_window,308970054,328998468,1,161,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,3,40732,window
9666,ESEMAN_TWOD,ds_window,308970054,328998468,1,204,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,halide_hpx_for,43959,window_cond
9666,ESEMAN_TWOD,ds_window,302108469,342721638,1,175,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,4,38494,window
9666,ESEMAN_TWOD,ds_window,302108469,342721638,1,244,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,42155,window_cond
9666,ESEMAN_TWOD,ds_window,221253033,383149356,1,363,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,6,44258,window
9666,ESEMAN_TWOD,ds_window,221253033,383149356,1,418,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,halide_hpx_for,39579,window_cond
9666,ESEMAN_TWOD,ds_window,251666546,322322330,1,220,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,4,45750,window
9666,ESEMAN_TWOD,ds_window,251666546,322322330,1,240,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,halide_hpx_for,38880,window_cond
9666,ESEMAN_TWOD,ds_window,291908817,312493572,1,112,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,5,42424,window
9666,ESEMAN_TWOD,ds_window,291908817,312493572,1,130,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,halide_hpx_for,35900,window_cond
9666,ESEMAN_TWOD,ds_window,258342684,379625838,1,628,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,6,45548,window
9666,ESEMAN_TWOD,ds_window,258342684,379625838,1,323,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,halide_hpx_for,76158,window_cond
9666,ESEMAN_TWOD,ds_window,224961998,396316181,1,322,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,3,53776,window
9666,ESEMAN_TWOD,ds_window,224961998,396316181,1,396,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,halide_hpx_for,39315,window_cond
9666,ESEMAN_TWOD,ds_window,251851994,342536189,1,250,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,5,53371,window
9666,ESEMAN_TWOD,ds_window,251851994,342536189,1,300,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,halide_hpx_for,40311,window_cond
9666,ESEMAN_TWOD,ds_window,285418128,366088116,1,211,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,6,43938,window
9666,ESEMAN_TWOD,ds_window,285418128,366088116,1,266,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,halide_hpx_for,39029,window_cond
9666,ESEMAN_TWOD,ds_window,268542338,399839696,1,334,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,5,55321,window
9666,ESEMAN_TWOD,ds_window,268542338,399839696,1,288,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,halide_hpx_for,39273,window_cond
9666,ESEMAN_TWOD,ds_window,160982354,453619688,1,488,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,5,51338,window
9666,ESEMAN_TWOD,ds_window,160982354,453619688,1,421,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,halide_hpx_for,38589,window_cond
9666,ESEMAN_TWOD,ds_window,231638135,312308126,1,225,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,4,55948,window
9666,ESEMAN_TWOD,ds_window,231638135,312308126,1,256,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,halide_hpx_for,36898,window_cond
9666,ESEMAN_TWOD,ds_window,265204271,325845845,1,274,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,5,53527,window
9666,ESEMAN_TWOD,ds_window,265204271,325845845,1,227,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,halide_hpx_for,38596,window_cond
9666,ESEMAN_TWOD,ds_window,244990412,366273563,1,287,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,6,48451,window
9666,ESEMAN_TWOD,ds_window,244990412,366273563,1,776,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,halide_hpx_for,38457,window_cond
9666,ESEMAN_TWOD,ds_window,197886556,389825491,1,354,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,5,46428,window
9666,ESEMAN_TWOD,ds_window,197886556,389825491,1,433,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,halide_hpx_for,38764,window_cond
9666,ESEMAN_TWOD,ds_window,244990410,295617783,1,194,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,6,43885,window
9666,ESEMAN_TWOD,ds_window,244990410,295617783,1,207,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,halide_hpx_for,37505,window_cond
Initial serve memory: 355.109 MB
Post serve memory: 728.082 MB
Post data serve memory: 1940.83 MB
