tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
9156,ESEMAN_TWOD,ds_window,-299856534,709352817,1,6131,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,4,178179,window
9156,ESEMAN_TWOD,ds_window,-299856534,709352817,1,698,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,4,44481,window
9156,ESEMAN_TWOD,ds_window,258342684,430253208,1,362,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,4,53982,window
9156,ESEMAN_TWOD,ds_window,302108469,342721638,1,176,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,5,42198,window
9156,ESEMAN_TWOD,ds_window,268356887,359597429,1,253,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,3,38976,window
9156,ESEMAN_TWOD,ds_window,275218472,345874259,1,233,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,6,42465,window
9156,ESEMAN_TWOD,ds_window,308970054,328998468,1,166,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,4,42576,window
9156,ESEMAN_TWOD,ds_window,302108469,342721638,1,184,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,6,44575,window
9156,ESEMAN_TWOD,ds_window,221253033,383149356,1,363,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,6,44424,window
9156,ESEMAN_TWOD,ds_window,251666546,322322330,1,220,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,5,48755,window
9156,ESEMAN_TWOD,ds_window,291908817,312493572,1,116,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,4,45866,window
9156,ESEMAN_TWOD,ds_window,258342684,379625838,1,290,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,5,43767,window
9156,ESEMAN_TWOD,ds_window,224961998,396316181,1,333,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,5,42872,window
9156,ESEMAN_TWOD,ds_window,251851994,342536189,1,247,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,5,46143,window
9156,ESEMAN_TWOD,ds_window,285418128,366088116,1,218,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,6,43532,window
9156,ESEMAN_TWOD,ds_window,268542338,399839696,1,282,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,3,41199,window
9156,ESEMAN_TWOD,ds_window,160982354,453619688,1,482,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,6,42146,window
9156,ESEMAN_TWOD,ds_window,231638135,312308126,1,228,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,6,59727,window
9156,ESEMAN_TWOD,ds_window,265204271,325845845,1,212,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,6,43471,window
9156,ESEMAN_TWOD,ds_window,244990412,366273563,1,288,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,5,48379,window
9156,ESEMAN_TWOD,ds_window,197886556,389825491,1,369,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,5,43565,window
9156,ESEMAN_TWOD,ds_window,244990410,295617783,1,184,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,6,42495,window
Initial serve memory: 355.105 MB
Post serve memory: 727.082 MB
Post data serve memory: 1940.82 MB
