tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
12302,ESEMAN,ds_window,-299856534,709352817,1,519,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,3,134704,window
12302,ESEMAN,ds_window,-299856534,709352817,1,482,ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,5,46167,window
12302,ESEMAN,ds_window,258342684,430253208,1,244,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,2,54647,window
12302,ESEMAN,ds_window,302108469,342721638,1,177,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,4,59836,window
12302,ESEMAN,ds_window,268356887,359597429,1,163,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,5,54454,window
12302,ESEMAN,ds_window,275218472,345874259,1,156,ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,4,48240,window
12302,ESEMAN,ds_window,308970054,328998468,1,148,ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,3,50621,window
12302,ESEMAN,ds_window,302108469,342721638,1,140,ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,4,52068,window
12302,ESEMAN,ds_window,221253033,383149356,1,213,ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,4,43673,window
12302,ESEMAN,ds_window,251666546,322322330,1,186,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,5,55562,window
12302,ESEMAN,ds_window,291908817,312493572,1,83,ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,4,51313,window
12302,ESEMAN,ds_window,258342684,379625838,1,242,ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,4,54098,window
12302,ESEMAN,ds_window,224961998,396316181,1,263,ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,3,58758,window
12302,ESEMAN,ds_window,251851994,342536189,1,169,ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,4,49279,window
12302,ESEMAN,ds_window,285418128,366088116,1,189,ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,4,55952,window
12302,ESEMAN,ds_window,268542338,399839696,1,169,ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,6,47953,window
12302,ESEMAN,ds_window,160982354,453619688,1,273,ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,3,51576,window
12302,ESEMAN,ds_window,231638135,312308126,1,164,ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,5,48787,window
12302,ESEMAN,ds_window,265204271,325845845,1,142,ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,5,51972,window
12302,ESEMAN,ds_window,244990412,366273563,1,243,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,4,58810,window
12302,ESEMAN,ds_window,197886556,389825491,1,288,ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,4,56983,window
12302,ESEMAN,ds_window,244990410,295617783,1,134,ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,5,55478,window
Initial serve memory: 355.105 MB
Post serve memory: 725.582 MB
Post data serve memory: 1940.45 MB
