dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,1480,138057,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,271130358,423859371,4176,659,119913,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,755,118930,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323869757,6,124,197,33320,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,748,118929,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325026828,7,72,192,18356,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,750,119003,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,323824579,4,558,199,14959,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,750,118714,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,324974120,9,308,182,14928,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,751,118913,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,325049417,9,308,207,16513,attribute
ecc21d0a-112a-4b52-8cdd-6aca80adde93,318546227,329027633,4177,769,119200,window
Initial serve memory: 2773.42 MB
Post serve memory: 3107.21 MB
Post data serve memory:  MB
