dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,2712,412484,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,247307,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,516,122874,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,11076,halide_hpx_for,111890,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,840,119980,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,430253208,11076,halide_hpx_for,106046,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,1008,130716,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,98587,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,1033,120541,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268356887,359597429,11077,halide_hpx_for,99859,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,1056,124471,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275218472,345874259,11077,halide_hpx_for,98748,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,1049,119004,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,308970054,328998468,11076,halide_hpx_for,98556,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,999,124460,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302108469,342721638,11076,halide_hpx_for,109744,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,1079,123445,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221253033,383149356,11076,halide_hpx_for,99540,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,1180,161440,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251666546,322322330,11076,halide_hpx_for,97285,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,1099,123744,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291908817,312493572,11076,halide_hpx_for,151448,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,996,125132,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258342684,379625838,11076,halide_hpx_for,106011,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,1016,124011,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,224961998,396316181,11076,halide_hpx_for,99203,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,1118,129327,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251851994,342536189,11076,halide_hpx_for,96999,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,996,204191,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,285418128,366088116,11076,halide_hpx_for,98228,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,892,150797,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268542338,399839696,11076,halide_hpx_for,98527,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,908,117533,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,160982354,453619688,11077,halide_hpx_for,125167,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,1230,122930,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,231638135,312308126,11076,halide_hpx_for,99746,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,1138,121984,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,265204271,325845845,11077,halide_hpx_for,97962,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,1073,131234,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990412,366273563,11076,halide_hpx_for,99796,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,1063,132449,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,197886556,389825491,11076,halide_hpx_for,99056,window_cond
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,1239,119926,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,244990410,295617783,11076,halide_hpx_for,99893,window_cond
Initial serve memory: 355.109 MB
Post serve memory: 721.223 MB
Post data serve memory:  MB
