dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4176,1160,138173,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,-299856534,709352817,4236,493,122949,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,430347858,4236,669,122809,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,736,122819,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,268135670,359473613,4236,758,123069,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,275123272,345498409,4237,765,122702,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,309063054,328528518,4236,756,123076,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,302075452,342503722,4236,730,122038,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,221218916,382931990,4237,824,122764,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,251664896,322040030,4236,829,122833,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,291594050,312556856,4236,792,122157,window
ecc21d0a-112a-4b52-8cdd-6aca80adde93,258153384,379438188,4236,737,122149,window
Initial serve memory: 3858.85 MB
Post serve memory: 4191.82 MB
Post data serve memory:  MB
