tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
28801724,AGC,ds_window,-88540582504,177707185940,1,29975,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,208673644,None,476837,73,444212979,attribute
28801724,AGC,ds_window,-88540582504,177707185940,1,7486,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,3,766081,window
28801724,AGC,ds_window,-88540582504,177707185940,1,57418,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,533124,window_cond
28801724,AGC,ds_window,-88540582504,177707185940,1,4304,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,693602,window
28801724,AGC,ds_window,-88540582504,177707185940,1,28734,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,383083,window_cond
28801724,AGC,ds_window,-88540582504,177707185940,1,43791,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,5,576031,window
28801724,AGC,ds_window,58722516174,104075636601,1,20152,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,run_on_completed_on_new_thread,594038,window_cond
28801724,AGC,ds_window,58722516174,104075636601,1,8643,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,4,594589,window
28801724,AGC,ds_window,70268725904,80983217141,1,16401,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,run_on_completed_on_new_thread,1238067,window_cond
28801724,AGC,ds_window,70268725904,80983217141,1,2238,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,6,580852,window
28801724,AGC,ds_window,61364445520,85435357333,1,26742,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,run_on_completed_on_new_thread,1214744,window_cond
28801724,AGC,ds_window,61364445520,85435357333,1,8809,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,4,585718,window
28801724,AGC,ds_window,63174656367,81814935639,1,24193,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,run_on_completed_on_new_thread,1212194,window_cond
28801724,AGC,ds_window,63174656367,81814935639,1,2864,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,4,595169,window
28801724,AGC,ds_window,72078936751,77362795447,1,7261,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,run_on_completed_on_new_thread,1264280,window_cond
28801724,AGC,ds_window,72078936751,77362795447,1,1817,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,4,573795,window
28801724,AGC,ds_window,70268725904,80983217141,1,24116,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,run_on_completed_on_new_thread,1232591,window_cond
28801724,AGC,ds_window,70268725904,80983217141,1,2196,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,580726,window
28801724,AGC,ds_window,48937592674,91648783756,1,32945,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,run_on_completed_on_new_thread,1217625,window_cond
28801724,AGC,ds_window,48937592674,91648783756,1,31528,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,3,600748,window
28801724,AGC,ds_window,56961229944,75601509216,1,30805,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,run_on_completed_on_new_thread,1213938,window_cond
28801724,AGC,ds_window,56961229944,75601509216,1,2744,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,5,592783,window
28801724,AGC,ds_window,67577871945,73008504486,1,16058,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,run_on_completed_on_new_thread,1230015,window_cond
28801724,AGC,ds_window,67577871945,73008504486,1,1639,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,4,569107,window
28801724,AGC,ds_window,58722516177,90719216022,1,26023,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,run_on_completed_on_new_thread,1213376,window_cond
28801724,AGC,ds_window,58722516177,90719216022,1,17677,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,5,599217,window
28801724,AGC,ds_window,49916085025,95122431598,1,33602,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,run_on_completed_on_new_thread,1208101,window_cond
28801724,AGC,ds_window,49916085025,95122431598,1,9843,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,6,593797,window
28801724,AGC,ds_window,57010154563,80934292522,1,30861,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,run_on_completed_on_new_thread,1210710,window_cond
28801724,AGC,ds_window,57010154563,80934292522,1,3271,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,4,586490,window
28801724,AGC,ds_window,65865510331,87147718945,1,21107,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,run_on_completed_on_new_thread,1206233,window_cond
28801724,AGC,ds_window,65865510331,87147718945,1,3138,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,5,597496,window
28801724,AGC,ds_window,61413370138,96051999331,1,36523,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,run_on_completed_on_new_thread,1210521,window_cond
28801724,AGC,ds_window,61413370138,96051999331,1,21412,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,4,596097,window
28801724,AGC,ds_window,33037091986,110240138407,1,32714,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,run_on_completed_on_new_thread,1248528,window_cond
28801724,AGC,ds_window,33037091986,110240138407,1,19452,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,4,601383,window
28801724,AGC,ds_window,51677371254,72959579871,1,26236,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,run_on_completed_on_new_thread,1227932,window_cond
28801724,AGC,ds_window,51677371254,72959579871,1,2982,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,5,591888,window
28801724,AGC,ds_window,60532727025,76531076946,1,25449,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,run_on_completed_on_new_thread,1244399,window_cond
28801724,AGC,ds_window,60532727025,76531076946,1,2504,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,5,582197,window
28801724,AGC,ds_window,55199943717,87196643562,1,33716,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,run_on_completed_on_new_thread,1222732,window_cond
28801724,AGC,ds_window,55199943717,87196643562,1,11382,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,5,595455,window
28801724,AGC,ds_window,42773090869,93410069986,1,30854,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,run_on_completed_on_new_thread,1215374,window_cond
28801724,AGC,ds_window,42773090869,93410069986,1,24094,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,5,611357,window
28801724,AGC,ds_window,55199943714,68556364296,1,20165,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,run_on_completed_on_new_thread,1219175,window_cond
28801724,AGC,ds_window,55199943714,68556364296,1,2213,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,4,580131,window
,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,run_on_completed_on_new_thread,1208411,window_cond
Initial serve memory: 1989.41 MB
Post serve memory: 2442.56 MB
Post data serve memory: 2142.99 MB
