tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
28048286,AGC,ds_window,-88540582504,177707185940,1,25926,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,208673644,None,476837,71,432467489,attribute
28048286,AGC,ds_window,-88540582504,177707185940,1,47405,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,731843,window
28048286,AGC,ds_window,-88540582504,177707185940,1,30063,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,433337,window
28048286,AGC,ds_window,58722516174,104075636601,1,24147,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,11016,4,536812,window
28048286,AGC,ds_window,70268725904,80983217141,1,15356,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516174,104075636601,11017,4,540868,window
28048286,AGC,ds_window,61364445520,85435357333,1,19976,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,549512,window
28048286,AGC,ds_window,63174656367,81814935639,1,19584,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61364445520,85435357333,11076,5,560611,window
28048286,AGC,ds_window,72078936751,77362795447,1,12252,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63174656367,81814935639,11077,5,616476,window
28048286,AGC,ds_window,70268725904,80983217141,1,15796,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72078936751,77362795447,11077,5,538011,window
28048286,AGC,ds_window,48937592674,91648783756,1,30583,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70268725904,80983217141,11077,5,543092,window
28048286,AGC,ds_window,56961229944,75601509216,1,18155,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48937592674,91648783756,11076,4,545465,window
28048286,AGC,ds_window,67577871945,73008504486,1,14771,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56961229944,75601509216,11076,4,544916,window
28048286,AGC,ds_window,58722516177,90719216022,1,32610,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67577871945,73008504486,11076,3,533550,window
28048286,AGC,ds_window,49916085025,95122431598,1,25437,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58722516177,90719216022,11076,4,546028,window
28048286,AGC,ds_window,57010154563,80934292522,1,18860,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49916085025,95122431598,11077,5,556036,window
28048286,AGC,ds_window,65865510331,87147718945,1,18070,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57010154563,80934292522,11076,5,546722,window
28048286,AGC,ds_window,61413370138,96051999331,1,30509,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65865510331,87147718945,11076,4,547136,window
28048286,AGC,ds_window,33037091986,110240138407,1,25985,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61413370138,96051999331,11076,5,553803,window
28048286,AGC,ds_window,51677371254,72959579871,1,28146,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,33037091986,110240138407,11076,5,559184,window
28048286,AGC,ds_window,60532727025,76531076946,1,25666,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51677371254,72959579871,11077,4,544112,window
28048286,AGC,ds_window,55199943717,87196643562,1,31337,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60532727025,76531076946,11076,5,549203,window
28048286,AGC,ds_window,42773090869,93410069986,1,25586,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943717,87196643562,11077,5,549343,window
28048286,AGC,ds_window,55199943714,68556364296,1,22433,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42773090869,93410069986,11076,6,562316,window
,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55199943714,68556364296,11076,3,539007,window
Initial serve memory: 1989.41 MB
Post serve memory: 2502.77 MB
Post data serve memory: 2142.88 MB
