tree build time (micros),ds type,ds query type,ds query begin,ds query end,hrd,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
4657841,ESEMAN,ds_window,-88540582504,177707185940,1,9688,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,4176,5,90074,window
4657841,ESEMAN,ds_window,-88540582504,177707185940,1,18277,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,-88540582504,177707185940,4176,5,139414,window
4657841,ESEMAN,ds_window,58672575320,104100607028,1,83829,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58672575320,104100607028,4176,5,205442,window
4657841,ESEMAN,ds_window,70260015291,80925727086,1,23128,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70260015291,80925727086,4176,4,143375,window
4657841,ESEMAN,ds_window,61306084403,85402692530,1,18676,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61306084403,85402692530,4177,4,134762,window
4657841,ESEMAN,ds_window,63149540763,81715779810,1,10500,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,63149540763,81715779810,4176,5,126085,window
4657841,ESEMAN,ds_window,72103471651,77238814366,1,7217,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,72103471651,77238814366,4176,5,120322,window
4657841,ESEMAN,ds_window,70260015291,80925727086,1,5026,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,70260015291,80925727086,4176,3,118461,window
4657841,ESEMAN,ds_window,48928591705,91591438879,1,38592,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,48928591705,91591438879,4176,4,156154,window
4657841,ESEMAN,ds_window,56960794413,75527033463,1,11165,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,56960794413,75527033463,4176,4,125342,window
4657841,ESEMAN,ds_window,67494830754,73025199831,1,7782,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,67494830754,73025199831,4177,5,120068,window
4657841,ESEMAN,ds_window,58672575321,90669710697,1,13211,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,58672575321,90669710697,4176,4,128416,window
4657841,ESEMAN,ds_window,49981995339,95015000688,1,14747,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,49981995339,95015000688,4176,4,130191,window
4657841,ESEMAN,ds_window,57092469867,80794051632,1,9529,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,57092469867,80794051632,4176,6,122646,window
4657841,ESEMAN,ds_window,65783049849,87114473433,1,10382,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,65783049849,87114473433,4176,4,124565,window
4657841,ESEMAN,ds_window,61306084405,96068404321,1,10773,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,61306084405,96068404321,4176,4,124834,window
4657841,ESEMAN,ds_window,32864186291,110289353378,1,25315,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,32864186291,110289353378,4176,4,141309,window
4657841,ESEMAN,ds_window,51562100791,72893524378,1,11489,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,51562100791,72893524378,4176,4,125088,window
4657841,ESEMAN,ds_window,60384356226,76580437095,1,8328,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,60384356226,76580437095,4176,4,122011,window
4657841,ESEMAN,ds_window,55117338057,87114473433,1,12717,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55117338057,87114473433,4176,4,128084,window
4657841,ESEMAN,ds_window,42739845357,93303219783,1,27816,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,42739845357,93303219783,4176,4,145774,window
4657841,ESEMAN,ds_window,55117338054,68548234389,1,9202,f4e2fdfa-893e-4f13-bac8-e9fbbdf40c1f,55117338054,68548234389,4176,3,122621,window
Initial serve memory: 4407.7 MB
Post serve memory: 4738.96 MB
Post data serve memory: 29705.6 MB
